index,arm,split,A_duration,B_duration,C_certain_duration,A_exposure,B_exposure,C_certain_exposure,C_differs_from_A,C_differs_from_B,C_minus_B_exposure,POST_A_CLAIM_FRACTION,C_contains_A_every_row
10,SELECTIVE,VALIDATION,637,10247,10247,831,1460364,1460363,True,True,-1,1.0,True
10,SHAM,VALIDATION,951,10247,951,952,1172068,952,False,True,-1171116,0.0,True
45,SELECTIVE,VALIDATION,177,10218,10218,569,1675800,1675797,True,True,-3,1.0,True
45,SHAM,VALIDATION,41,10218,499,84,1765526,1574,True,True,-1763952,0.0008440415200451364,True
52,SELECTIVE,DEVELOPMENT,315,10119,10119,822,1767067,1767065,True,True,-2,1.0,True
52,SHAM,DEVELOPMENT,277,10119,1874,278,1791765,6045,True,True,-1785720,0.003220391606767122,True
56,SELECTIVE,DEVELOPMENT,281,8993,8993,1016,1684781,1684779,True,True,-2,1.0,True
56,SHAM,DEVELOPMENT,190,8993,645,382,1402399,1034,True,True,-1401365,0.0004652181637724912,True
67,SELECTIVE,VALIDATION,522,10494,10494,692,1901985,1901984,True,True,-1,1.0,True
67,SHAM,VALIDATION,258,10494,3205,374,1716796,19968,True,True,-1696828,0.011417330405095552,True
201,SELECTIVE,DEVELOPMENT,360,9849,9849,503,1513664,1513663,True,True,-1,1.0,True
201,SHAM,DEVELOPMENT,122,9849,9849,246,1331541,1331529,True,True,-12,1.0,True
210,SELECTIVE,DEVELOPMENT,473,10469,10469,740,1777043,1777042,True,True,-1,1.0,True
210,SHAM,DEVELOPMENT,344,548,401,345,1218,402,True,True,-816,0.24675324675324675,True
217,SELECTIVE,DEVELOPMENT,181,10089,10089,288,1421080,1421079,True,True,-1,1.0,True
217,SHAM,DEVELOPMENT,248,10089,406,438,1636991,623,True,True,-1636368,0.32062391681109187,True
226,SELECTIVE,VALIDATION,30,949,949,62,1539,1538,True,True,-1,1.0,True
226,SHAM,VALIDATION,210,10344,1899,384,1844005,14116,True,True,-1829889,0.007449488647829927,True
252,SELECTIVE,DEVELOPMENT,98,10116,10116,318,1725141,1725140,True,True,-1,1.0,True
252,SHAM,DEVELOPMENT,34,10116,1448,105,1910302,11390,True,True,-1898912,0.005907875876496339,True
277,SELECTIVE,DEVELOPMENT,186,10125,10125,461,1656664,1656660,True,True,-4,1.0,True
277,SHAM,DEVELOPMENT,429,10125,535,430,1713827,536,True,True,-1713291,0.33125,True
298,SELECTIVE,VALIDATION,10,10607,10607,22,1898833,1898832,True,True,-1,1.0,True
298,SHAM,VALIDATION,18,10607,1231,38,1892552,1353,True,True,-1891199,0.15703367566276571,True
354,SELECTIVE,DEVELOPMENT,44,568,568,111,723,721,True,True,-2,1.0,True
354,SHAM,DEVELOPMENT,39,10684,10684,120,1756016,1755474,True,True,-542,0.9997368744788748,True
364,SELECTIVE,VALIDATION,382,9017,9017,759,1474787,1474786,True,True,-1,1.0,True
364,SHAM,VALIDATION,1357,9017,9017,1572,1174102,1173530,True,True,-572,1.0,True
392,SELECTIVE,DEVELOPMENT,212,10575,10575,451,1705189,1705188,True,True,-1,1.0,True
392,SHAM,DEVELOPMENT,16,10575,1874,34,1838164,2977,True,True,-1835187,0.0016010985178821976,True
402,SELECTIVE,VALIDATION,7,9893,9893,32,1574843,1574839,True,True,-4,1.0,True
402,SHAM,VALIDATION,237,9893,518,2080,1891690,1387,True,True,-1890303,0.00018634188123775478,False
450,SELECTIVE,DEVELOPMENT,257,257,257,372,374,372,False,True,-2,,True
450,SHAM,DEVELOPMENT,88,9708,1760,231,1733382,20069,True,True,-1713313,0.01144757790648625,True
468,SELECTIVE,DEVELOPMENT,26,10372,10372,81,1635361,1635360,True,True,-1,1.0,True
468,SHAM,DEVELOPMENT,128,10372,1543,414,1992477,5284,True,True,-1987193,0.0024449779550344956,True
471,SELECTIVE,DEVELOPMENT,707,10141,10141,1274,1572244,1572243,True,True,-1,1.0,True
471,SHAM,DEVELOPMENT,119,1028,119,120,1149,120,False,True,-1029,0.0,True
482,SELECTIVE,DEVELOPMENT,214,214,214,215,216,215,False,True,-1,,True
482,SHAM,DEVELOPMENT,128,10111,1071,303,1587143,6184,True,True,-1580959,0.003706409043612857,True
484,SELECTIVE,VALIDATION,296,10528,10528,401,1745547,1745546,True,True,-1,1.0,True
484,SHAM,VALIDATION,551,10528,10528,2384,1837968,1837966,True,True,-2,1.0,True
489,SELECTIVE,DEVELOPMENT,555,10526,10526,1208,1778258,1778257,True,True,-1,1.0,True
489,SHAM,DEVELOPMENT,135,10526,2103,186,1957707,20154,True,True,-1937553,0.010201365597468051,True
518,SELECTIVE,DEVELOPMENT,16,9730,9730,34,1497379,1497378,True,True,-1,1.0,True
518,SHAM,DEVELOPMENT,322,9730,1753,1669,1816300,10430,True,True,-1805870,0.004772692064055625,False
520,SELECTIVE,VALIDATION,550,10295,10295,711,1571767,1571765,True,True,-2,1.0,True
520,SHAM,VALIDATION,372,10295,2635,774,1599946,15027,True,True,-1584919,0.008916896997421214,True
539,SELECTIVE,DEVELOPMENT,197,10053,10053,451,1704924,1704923,True,True,-1,1.0,True
539,SHAM,DEVELOPMENT,111,10053,10053,224,1648313,1648300,True,True,-13,1.0,True
552,SELECTIVE,VALIDATION,1196,10263,10263,1682,1478800,1478798,True,True,-2,1.0,True
552,SHAM,VALIDATION,100,10263,2375,197,1964908,17896,True,True,-1947012,0.009009568498732735,True
559,SELECTIVE,DEVELOPMENT,213,10332,10332,323,1613843,1613842,True,True,-1,1.0,True
559,SHAM,DEVELOPMENT,226,10332,1392,374,1760826,6817,True,True,-1754009,0.0036608952971444674,True
