index,arm,split,t_m,root_size,A_duration,A_exposure,A_terminal,B_duration,B_exposure,B_terminal,C_certain_duration,C_certain_exposure,C_possible_duration,C_possible_exposure,C_terminal,C_certain_split_rows,C_yb_certain,C_yd_certain,C_yb_possible,C_yd_possible,C_replacements_crossed,C_xb_certain,C_xb_possible,total_xbirths_after_t_m,C_downstream_X_fraction_certain,C_downstream_X_fraction_possible,POST_A_CLAIM_FRACTION,ambient_rows_claimed_after_A,implementations_agree,invariant_violations,C_contains_A_every_row,C_equals_A,C_equals_B,C_minus_B_exposure
10,SELECTIVE,VALIDATION,752,1,637,831,SPLIT_OR_TIE,10247,1460364,REACHED_THE_HORIZON,10247,1460363,10247,1460363,REACHED_THE_HORIZON,9692,1324,1086,1324,1086,1086,173063,173063,173063,1.0,1.0,1.0,9610,True,0,True,False,False,-1
10,SHAM,VALIDATION,752,1,951,952,OUT_OF_RANGE,10247,1172068,REACHED_THE_HORIZON,951,952,951,952,CERTAIN_SET_EXHAUSTED,0,0,1,0,1,0,349,349,142697,0.002445741676419266,0.002445741676419266,0.0,0,True,0,True,True,False,-1171116
45,SELECTIVE,VALIDATION,781,2,177,569,SPLIT_OR_TIE,10218,1675800,REACHED_THE_HORIZON,10218,1675797,10218,1675797,REACHED_THE_HORIZON,10192,1462,1228,1462,1228,1228,186225,186225,186225,1.0,1.0,1.0,10041,True,0,True,False,False,-3
45,SHAM,VALIDATION,781,2,41,84,SPLIT_OR_TIE,10218,1765526,REACHED_THE_HORIZON,499,1574,10218,1764520,CERTAIN_SET_EXHAUSTED,484,5,2,1514,1267,2,533,194849,195145,0.002731302364908145,0.9984831791744601,0.0008440415200451364,458,True,0,True,False,False,-1763952
52,SELECTIVE,DEVELOPMENT,880,1,315,822,SPLIT_OR_TIE,10119,1767067,REACHED_THE_HORIZON,10119,1767065,10119,1767065,REACHED_THE_HORIZON,9999,1571,1298,1571,1298,1298,193243,193243,193243,1.0,1.0,1.0,9804,True,0,True,False,False,-2
52,SHAM,DEVELOPMENT,880,1,277,278,OUT_OF_RANGE,10119,1791765,REACHED_THE_HORIZON,1874,6045,10119,1775575,CERTAIN_SET_EXHAUSTED,1344,18,7,1505,1289,7,1803,191470,195858,0.009205648990595228,0.9775960134383074,0.003220391606767122,1597,True,0,True,False,False,-1785720
56,SELECTIVE,DEVELOPMENT,2006,2,281,1016,SPLIT_OR_TIE,8993,1684781,REACHED_THE_HORIZON,8993,1684779,8993,1684779,REACHED_THE_HORIZON,8970,1481,1186,1481,1186,1186,177583,177583,177583,1.0,1.0,1.0,8712,True,0,True,False,False,-2
56,SHAM,DEVELOPMENT,2006,2,190,382,MERGE,8993,1402399,REACHED_THE_HORIZON,645,1034,8993,1386389,CERTAIN_SET_EXHAUSTED,230,1,1,1259,1060,1,320,159220,163530,0.0019568274934262824,0.9736439796979147,0.0004652181637724912,455,True,0,True,False,False,-1401365
67,SELECTIVE,VALIDATION,505,1,522,692,SPLIT_OR_TIE,10494,1901985,REACHED_THE_HORIZON,10494,1901984,10494,1901984,REACHED_THE_HORIZON,10027,1621,1343,1621,1343,1343,199519,199519,199519,1.0,1.0,1.0,9972,True,0,True,False,False,-1
67,SHAM,VALIDATION,505,1,258,374,SPLIT_OR_TIE,10494,1716796,REACHED_THE_HORIZON,3205,19968,10494,1704932,CERTAIN_SET_EXHAUSTED,2850,49,16,1466,1237,16,5454,183865,187254,0.02912621359223301,0.9819015882170742,0.011417330405095552,2947,True,0,True,False,False,-1696828
