point,tag,seed,stop,stop_step,n_identity_intervals,n_partial_turnover,n_complete_turnover,total_Y_births,total_Y_deaths
B1,B_B1_i000_s942104457,942104457,EXTINCT,4111,11,3,0,1,2
B1,B_B1_i001_s964832813,964832813,EXTINCT,818,1,1,0,0,1
B1,B_B1_i002_s984926519,984926519,EXTINCT,7483,1,1,0,0,1
B1,B_B1_i003_s980160103,980160103,EXTINCT,6248,1,1,0,0,1
B1,B_B1_i004_s985002422,985002422,EXTINCT,759,1,1,0,0,1
B1,B_B1_i005_s973414108,973414108,PREMATURE_THIRD_CENTRE,7769,5,2,0,2,0
B1,B_B1_i006_s950265832,950265832,EXTINCT,8113,1,1,0,0,1
B1,B_B1_i007_s957760836,957760836,HORIZON,11000,1,0,0,0,0
B1,B_B1_i008_s961401796,961401796,EXTINCT,1568,1,1,0,0,1
B1,B_B1_i009_s964348423,964348423,EXTINCT,359,1,1,0,0,1
B1,B_B1_i010_s954932320,954932320,PREMATURE_THIRD_CENTRE,3400,18,4,1,4,2
B1,B_B1_i011_s972899442,972899442,EXTINCT,3832,1,1,0,0,1
B1,B_B1_i012_s948144737,948144737,EXTINCT,914,1,1,0,0,1
B1,B_B1_i013_s941531409,941531409,EXTINCT,2217,1,1,0,0,1
B1,B_B1_i014_s957357991,957357991,EXTINCT,2478,1,1,0,0,1
B1,B_B1_i015_s959574951,959574951,EXTINCT,4888,1,1,0,0,1
B1,B_B1_i016_s978098288,978098288,HORIZON,11000,5,2,0,1,1
B1,B_B1_i017_s944881843,944881843,EXTINCT,3884,1,1,0,0,1
B1,B_B1_i018_s986563095,986563095,PREMATURE_THIRD_CENTRE,3442,5,2,0,2,0
B1,B_B1_i019_s977581696,977581696,EXTINCT,1237,1,1,0,0,1
B1,B_B1_i020_s950639211,950639211,HORIZON,11000,30,1,0,1,0
B1,B_B1_i021_s982042871,982042871,EXTINCT,4828,1,1,0,0,1
B1,B_B1_i022_s960856267,960856267,HORIZON,11000,11,1,1,2,2
B1,B_B1_i023_s979644336,979644336,EXTINCT,1601,1,1,0,0,1
B1,B_B1_i024_s961848369,961848369,EXTINCT,4237,1,1,0,0,1
B1,B_B1_i025_s950130140,950130140,PREMATURE_THIRD_CENTRE,1465,6,2,0,2,0
B1,B_B1_i026_s948401949,948401949,EXTINCT,1627,1,1,0,0,1
B1,B_B1_i027_s943470984,943470984,EXTINCT,379,1,1,0,0,1
B1,B_B1_i028_s980328882,980328882,EXTINCT,929,1,1,0,0,1
B1,B_B1_i029_s973819266,973819266,PREMATURE_THIRD_CENTRE,3185,11,2,0,2,0
B1,B_B1_i030_s942070244,942070244,EXTINCT,6784,1,1,0,0,1
B1,B_B1_i031_s984994512,984994512,HORIZON,11000,4,1,1,2,1
B1,B_B1_i032_s950302476,950302476,EXTINCT,6914,1,1,0,0,1
B1,B_B1_i033_s955153022,955153022,HORIZON,11000,32,1,0,1,0
B1,B_B1_i034_s985310591,985310591,EXTINCT,531,1,1,0,0,1
B1,B_B1_i035_s984253947,984253947,HORIZON,11000,10,4,0,2,2
B1,B_B1_i036_s982276419,982276419,PREMATURE_THIRD_CENTRE,10762,14,5,0,4,2
B1,B_B1_i037_s966307960,966307960,HORIZON,11000,15,1,1,2,1
B1,B_B1_i038_s945497148,945497148,EXTINCT,269,1,1,0,0,1
B1,B_B1_i039_s950085585,950085585,HORIZON,11000,33,1,0,1,0
B1,B_B1_i040_s958845720,958845720,EXTINCT,4981,1,1,0,0,1
B1,B_B1_i041_s967791007,967791007,EXTINCT,1868,1,1,0,0,1
B1,B_B1_i042_s958795488,958795488,PREMATURE_THIRD_CENTRE,691,6,1,0,2,0
B1,B_B1_i043_s949060103,949060103,EXTINCT,4671,1,1,0,0,1
B2,B_B2_i000_s952591689,952591689,HORIZON,11000,1,0,0,0,0
B2,B_B2_i001_s967852247,967852247,HORIZON,11000,1,0,0,0,0
B2,B_B2_i002_s942552035,942552035,HORIZON,11000,1,0,0,0,0
B2,B_B2_i003_s973852476,973852476,HORIZON,11000,1,0,0,0,0
B2,B_B2_i004_s957719806,957719806,HORIZON,11000,1,0,0,0,0
