world,point,seed,split,stop,kY,muY,steps,first_birth,n_births,extinct,first_S,first_P,n_S_episodes,max_S_duration,integrity_ok,median_separation_during_S,dur_ok_T_50,noP_ok_T_50,resp_ok_T_50,event_step_T_50,weak_centre_X_ratio_T_50,P_before_event_T_50,newer_centre_is_weaker_T_50,joint_timing_T_50,PRIMARY_SUCCESS_T_50,dur_ok_T_primary,noP_ok_T_primary,resp_ok_T_primary,event_step_T_primary,weak_centre_X_ratio_T_primary,P_before_event_T_primary,newer_centre_is_weaker_T_primary,joint_timing_T_primary,PRIMARY_SUCCESS_T_primary,dur_ok_T_80,noP_ok_T_80,resp_ok_T_80,event_step_T_80,weak_centre_X_ratio_T_80,P_before_event_T_80,newer_centre_is_weaker_T_80,joint_timing_T_80,PRIMARY_SUCCESS_T_80,dur_ok_T_90,noP_ok_T_90,resp_ok_T_90,event_step_T_90,weak_centre_X_ratio_T_90,P_before_event_T_90,newer_centre_is_weaker_T_90,joint_timing_T_90,PRIMARY_SUCCESS_T_90,PRIMARY_SUCCESS
F_B1_i000_s957445270,B1,957445270,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,3376,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i001_s970004366,B1,970004366,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1860,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i002_s988988689,B1,988988689,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,5313,1,False,5530,-1,2,759,True,13.0,True,True,True,5706,0.8607594936708861,False,,True,True,True,True,True,5783,0.6666666666666666,False,,True,True,True,True,True,5935,1.0,False,,True,True,True,True,False,6108,0.7789473684210526,False,,True,False,True
F_B1_i003_s961814942,B1,961814942,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,3074,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i004_s946152229,B1,946152229,FDFLT01_PRIMARY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,10860,6736,2,False,6872,10859,1,3987,True,15.264337522473747,True,True,True,7044,0.6914893617021277,False,,True,True,True,True,True,7121,0.6931818181818182,False,,True,True,True,True,False,7273,0.6707317073170732,False,,True,False,True,True,False,7446,0.78125,False,,True,False,True
F_B1_i005_s943967510,B1,943967510,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4162,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i006_s979089558,B1,979089558,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,881,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i007_s968316868,B1,968316868,FDFLT01_PRIMARY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,2917,2359,2,False,2434,2916,1,482,True,12.103559819694368,True,True,True,2606,0.825,False,,True,True,True,True,True,2683,0.8241758241758241,False,,True,True,True,True,False,2835,0.4943820224719101,False,,True,False,False,False,False,-1,,,,False,False,True
F_B1_i008_s945930282,B1,945930282,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,9990,1906,1,True,2119,-1,11,594,True,10.816653826391969,True,True,True,2291,0.987012987012987,False,,True,True,True,True,True,2368,0.9302325581395349,False,,True,True,True,True,True,2927,0.8734177215189873,False,,True,True,True,True,False,3100,0.7191011235955056,False,,True,False,True
F_B1_i009_s973611054,B1,973611054,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,84,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i010_s962643173,B1,962643173,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,1707,2,False,1806,-1,2,6693,True,16.401219466856727,True,True,True,1987,0.5,False,,True,True,True,True,True,2064,0.6494845360824743,False,,True,True,True,True,True,2216,0.9775280898876404,False,,True,True,True,True,True,2389,0.9666666666666667,False,,True,True,True
F_B1_i011_s989617139,B1,989617139,FDFLT01_PRIMARY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,9353,6470,2,False,6713,9352,8,871,True,8.54400374531753,True,True,True,6885,0.6759259259259259,False,,True,True,True,True,True,7658,0.8461538461538461,False,,True,True,True,True,True,7810,0.8266666666666667,False,,True,True,True,True,False,7983,0.8817204301075269,False,,True,False,True
F_B1_i012_s952784215,B1,952784215,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i013_s972203375,B1,972203375,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,7593,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
