world,seed,split,steps_recorded,stop,E_w_mean_Q_founder,S_w_q10_Q_founder,q25,median,q90,max,frac_zero_Q,mean_cand_Y_founder,mean_field_Q_POSITION,mean_nSY,mean_free,mean_N_X,distinct_source_cells,iat_Q_founder,max_zero_run,max_high_run
A_A0_i000_s970247606,970247606,DISCOVERY,11000,HORIZON,2.7177777777777776,0.0,0.0,0.0,9.0,28.0,0.6558888888888889,0.8523333333333334,0.22439497599451302,2.952187328532236,9.996141975308642,122.16511111111112,325,6.645430819720312,188,14
A_A0_i001_s950550891,950550891,DISCOVERY,11000,HORIZON,2.7443333333333335,0.0,0.0,0.0,9.0,28.0,0.6431111111111111,0.7084444444444444,0.21899674211248285,2.9501600651577506,9.996141975308642,121.03522222222222,289,5.7139994503439215,93,18
A_A0_i002_s941818304,941818304,DISCOVERY,11000,HORIZON,2.7114444444444445,0.0,0.0,0.0,9.0,28.0,0.6457777777777778,0.7891111111111111,0.22463966049382716,2.9503562242798353,9.996141975308642,122.39777777777778,294,6.891997877285154,66,17
A_A0_i003_s983718995,983718995,VALIDATION,11000,HORIZON,2.2954444444444446,0.0,0.0,0.0,8.0,28.0,0.7006666666666667,1.0025555555555556,0.19912165637860083,2.9568370198902607,9.996141975308642,109.74722222222222,344,11.011130957209536,670,13
A_A0_i004_s950918058,950918058,VALIDATION,11000,HORIZON,2.875888888888889,0.0,0.0,0.0,10.0,28.0,0.63,0.7255555555555555,0.22133839163237312,2.950129458161866,9.996141975308642,122.62577777777778,272,5.116627170895463,40,14
A_A0_i005_s981463531,981463531,VALIDATION,11000,HORIZON,2.9656666666666665,0.0,0.0,0.0,10.0,28.0,0.6343333333333333,0.8261111111111111,0.2251000514403292,2.9507279663923183,9.996141975308642,123.607,346,6.417561621178804,129,15
A_A0_i006_s964136804,964136804,DISCOVERY,11000,HORIZON,1.619888888888889,0.0,0.0,0.0,7.0,28.0,0.8077777777777778,1.7076666666666667,0.12704115226337448,2.9741611796982164,9.996141975308642,68.982,309,297.5664597562356,4059,13
A_A0_i007_s987080529,987080529,VALIDATION,11000,HORIZON,2.8722222222222222,0.0,0.0,0.0,10.0,28.0,0.6445555555555555,0.7833333333333333,0.2186321159122085,2.9517055898491082,9.996141975308642,121.61,374,5.9374592617850475,173,18
A_A0_i008_s952675162,952675162,DISCOVERY,11000,HORIZON,2.597,0.0,0.0,0.0,9.0,28.0,0.6596666666666666,0.787,0.21644607338820301,2.953222736625514,9.996141975308642,117.29733333333333,309,5.521856269648484,52,19
A_A0_i009_s940707807,940707807,DISCOVERY,11000,HORIZON,2.273222222222222,0.0,0.0,0.0,8.0,28.0,0.6966666666666667,0.964,0.18659705075445815,2.9578979766803837,9.996141975308642,104.28244444444445,351,12.065048112232416,526,18
A_A0_i010_s948648574,948648574,DISCOVERY,11000,HORIZON,2.531,0.0,0.0,0.0,8.0,28.0,0.666,0.632,0.21385948216735254,2.950347736625514,9.996141975308642,118.61588888888889,298,5.576012508477356,43,14
A_A0_i011_s983260155,983260155,DISCOVERY,11000,HORIZON,2.6737777777777776,0.0,0.0,0.0,9.0,28.0,0.6483333333333333,0.7682222222222223,0.2107454561042524,2.953142575445816,9.996141975308642,117.50888888888889,315,5.273467282089196,66,18
A_A0_i012_s953464496,953464496,DISCOVERY,11000,HORIZON,2.836222222222222,0.0,0.0,0.0,9.0,28.0,0.6266666666666667,0.7318888888888889,0.22419590192043895,2.9512965534979423,9.996141975308642,122.41288888888889,331,5.607039009254374,54,20
A_A0_i013_s950153464,950153464,DISCOVERY,11000,HORIZON,2.780111111111111,0.0,0.0,0.0,9.0,28.0,0.6516666666666666,0.6781111111111111,0.22217069615912208,2.9499703360768175,9.996141975308642,123.4901111111111,242,5.305587116725979,38,14
A_A0_i014_s959003162,959003162,DISCOVERY,11000,HORIZON,2.7175555555555557,0.0,0.0,0.0,9.0,28.0,0.6485555555555556,0.7723333333333333,0.2201622085048011,2.950366512345679,9.996141975308642,121.00677777777778,402,5.589900551043575,87,14
A_A0_i015_s940941418,940941418,DISCOVERY,11000,HORIZON,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.852222222222222,0.00022222222222222223,3.002851508916324,9.996141975308642,0.10255555555555555,306,1.0,9000,0
A_A0_i016_s944310510,944310510,VALIDATION,11000,HORIZON,2.387,0.0,0.0,0.0,8.0,28.0,0.6915555555555556,0.8802222222222222,0.20770447530864197,2.9553646262002737,9.996141975308642,113.975,283,7.3110950779863915,210,16
