world,seed,split,steps_recorded,stop,stop_step,n_Y_births,n_Y_deaths,first_birth_step,max_N_Y,max_n_centres,steps_two_plus_Y,steps_colocated_one_centre,steps_two_centres,separation_first_step,separation_delay_after_first_birth,steps_with_multiple_occupied_Y_cells,n_Y_hops,max_pair_dist,mean_Q_founder,mean_nSY,mean_free,mean_N_X,predicted_P_no_birth,descendant_exposure_rows
B_B1_i000_s942104457,942104457,VALIDATION,4112,EXTINCT,4111,1,2,1596,2,2,2161,178,1983,1686,90,2135,630,21.633307652783937,2.773200757575758,2.9031007412083802,9.996141975308642,233.55113636363637,0.595748594832798,4651
B_B1_i001_s964832813,964832813,VALIDATION,819,EXTINCT,818,0,1,-1,1,1,0,0,0,-1,-1,0,85,0.0,1.9438339438339438,2.979363571956165,9.996141975308644,58.91330891330891,0.9560064872569604,0
B_B1_i002_s984926519,984926519,DISCOVERY,7484,EXTINCT,7483,0,1,-1,1,1,0,0,0,-1,-1,0,717,0.0,2.6704959883296864,2.954594341788908,9.996141975308644,114.68490153172867,0.552973853368,0
B_B1_i003_s980160103,980160103,VALIDATION,6249,EXTINCT,6248,0,1,-1,1,1,0,0,0,-1,-1,0,644,0.0,2.401976935749588,2.9523311948490423,9.996141975308642,120.70910802541775,0.6234939876652963,0
B_B1_i004_s985002422,985002422,DISCOVERY,760,EXTINCT,759,0,1,-1,1,1,0,0,0,-1,-1,0,74,0.0,3.2552631578947366,2.9622390756985055,9.996141975308644,88.30657894736842,0.9307218307017568,0
B_B1_i005_s973414108,973414108,VALIDATION,7770,PREMATURE_THIRD_CENTRE,7769,2,0,5348,3,3,2422,277,2145,5610,262,2417,1057,19.313207915827967,2.534315424610052,2.934890450820549,9.996141975308646,156.7315424610052,0.45846764516677757,4964
B_B1_i006_s950265832,950265832,DISCOVERY,8114,EXTINCT,8113,0,1,-1,1,1,0,0,0,-1,-1,0,809,0.0,2.491658488714426,2.9507824836339993,9.996141975308644,118.21000981354268,0.5271353651002454,0
B_B1_i007_s957760836,957760836,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1085,0.0,2.8294444444444444,2.9517097050754457,9.996141975308642,123.43233333333333,0.3967547566828386,0
B_B1_i008_s961401796,961401796,DISCOVERY,1569,EXTINCT,1568,0,1,-1,1,1,0,0,0,-1,-1,0,162,0.0,2.8209050350541744,2.958797083146457,9.996141975308644,107.43785850860421,0.8789350945008674,0
B_B1_i009_s964348423,964348423,DISCOVERY,360,EXTINCT,359,0,1,-1,1,1,0,0,0,-1,-1,0,31,0.0,2.352777777777778,2.9888031550068583,9.996141975308644,46.68611111111111,0.976982279799478,0
