world,point,split,stop,kY,muY,steps,first_birth,n_births,extinct,first_S,first_P,n_S_episodes,max_S_duration,integrity_ok,dur_ok_T_50,noP_ok_T_50,resp_ok_T_50,event_step_T_50,weak_centre_X_ratio_T_50,weak_centre_X_abs_T_50,P_before_event_T_50,joint_timing_T_50,joint_T_50,dur_ok_T_primary,noP_ok_T_primary,resp_ok_T_primary,event_step_T_primary,weak_centre_X_ratio_T_primary,weak_centre_X_abs_T_primary,P_before_event_T_primary,joint_timing_T_primary,joint_T_primary,dur_ok_T_80,noP_ok_T_80,resp_ok_T_80,event_step_T_80,weak_centre_X_ratio_T_80,weak_centre_X_abs_T_80,P_before_event_T_80,joint_timing_T_80,joint_T_80,dur_ok_T_90,noP_ok_T_90,resp_ok_T_90,event_step_T_90,weak_centre_X_ratio_T_90,weak_centre_X_abs_T_90,P_before_event_T_90,joint_timing_T_90,joint_T_90
A_A0_i000_s970247606,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i001_s950550891,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i002_s941818304,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i003_s983718995,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i004_s950918058,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i005_s981463531,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i006_s964136804,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i007_s987080529,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i008_s952675162,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i009_s940707807,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i010_s948648574,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i011_s983260155,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i012_s953464496,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i013_s950153464,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i014_s959003162,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i015_s940941418,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i016_s944310510,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i017_s941818973,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i018_s968793083,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i019_s986202838,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i020_s983192947,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
