GLOBAL_R2_PASS,GLOBAL_criterion_D,GLOBAL_criterion_E_post_intervention_births_in_daughter,GLOBAL_daughter_exists,GLOBAL_daughter_mass_post,GLOBAL_final_NX,GLOBAL_final_NY,GLOBAL_integrity_ok_post,GLOBAL_removed,GLOBAL_survivor_upper_95,GLOBAL_third_centre_in_window,NX_world_at_intervention,R1_EXACT,SELECTIVE_R2_PASS,SELECTIVE_criterion_D,SELECTIVE_criterion_E_post_intervention_births_in_daughter,SELECTIVE_daughter_exists,SELECTIVE_daughter_mass_post,SELECTIVE_final_NX,SELECTIVE_final_NY,SELECTIVE_integrity_ok_post,SELECTIVE_removed,SELECTIVE_survivor_upper_95,SELECTIVE_third_centre_in_window,SHAM_R2_PASS,SHAM_criterion_D,SHAM_criterion_E_post_intervention_births_in_daughter,SHAM_daughter_exists,SHAM_daughter_mass_post,SHAM_final_NX,SHAM_final_NY,SHAM_integrity_ok_post,SHAM_removed,SHAM_survivor_upper_95,SHAM_third_centre_in_window,block,daughter_mass_tm,daughter_total_tm,fork_identity_ok,fraction_new,identity_level,inherited,late_trigger,parent_mass_tm,phase1_stop,post_separation,required,seed,t0_separation,t_m,technical_failure,triggered
False,False,0,False,,77,0,True,2,88,False,209,True,False,False,0,False,,154,0,True,1,88,False,True,True,72,True,93.0,260,2,True,0,88,False,0,73.0,73,True,0.8904109589041096,1,8,False,96.0,HORIZON,65,60.683573647541536,945575213,2718,2967,False,True
False,False,0,False,,88,0,True,2,96,False,229,True,True,True,71,True,101.0,180,1,True,1,96,False,False,False,66,True,88.0,234,2,True,0,96,False,1,82.0,82,True,0.8658536585365854,1,11,False,73.0,HORIZON,71,46.14480079448471,986782284,8665,8914,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,PREMATURE_THIRD_CENTRE,,,970615247,,,False,False
False,False,0,False,,83,0,True,2,97,False,231,True,False,False,72,True,86.0,157,1,True,1,97,False,False,False,52,True,72.0,248,2,True,0,97,False,3,65.0,65,True,0.8461538461538461,1,10,False,81.0,HORIZON,55,51.201765265113174,988835594,691,940,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,EXTINCT,,,968027991,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,HORIZON,,,951445440,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,HORIZON,,,985813578,,,False,False
False,False,0,False,,62,0,True,2,85,False,200,True,False,False,42,True,46.0,145,1,True,1,85,False,False,False,62,True,76.0,254,2,True,0,85,False,7,86.0,86,True,0.7906976744186046,1,18,False,86.0,HORIZON,68,54.36236805925596,982799593,2837,3086,False,True
False,False,0,False,,85,0,True,2,90,False,214,True,False,False,81,True,88.0,169,1,True,1,90,False,False,False,58,True,74.0,222,2,True,0,90,False,8,63.0,63,True,0.9206349206349206,1,5,False,74.0,HORIZON,58,46.77692135331327,971425726,1486,1735,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,EXTINCT,,,950738682,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,EXTINCT,,,989142086,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,EXTINCT,,,971776936,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,HORIZON,,,985326158,,,False,False
False,False,0,False,,79,0,True,2,96,False,229,True,False,False,52,True,63.0,146,1,True,1,96,False,False,False,44,True,54.0,245,2,True,0,96,False,13,65.0,65,True,0.9692307692307692,1,2,False,91.0,HORIZON,63,57.522970853398746,988685513,8436,8685,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,EXTINCT,,,980643585,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,HORIZON,,,941203854,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,HORIZON,,,945735050,,,False,False
False,False,0,False,,77,0,True,2,88,False,208,True,False,False,62,True,65.0,150,1,True,1,88,False,False,False,54,True,58.0,239,2,True,0,88,False,17,79.0,79,True,0.9367088607594937,1,5,False,54.0,HORIZON,74,34.13451017674211,985291660,2890,3139,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,EXTINCT,,,968750458,,,False,False
False,False,0,False,,92,0,True,2,95,False,225,True,False,False,0,False,,111,0,True,1,95,False,False,False,48,True,74.0,252,2,True,0,95,False,19,85.0,85,True,0.7764705882352941,1,19,False,80.0,HORIZON,66,50.56964470628461,987032198,10304,10553,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,EXTINCT,,,973945502,,,False,False
False,False,0,False,,103,0,True,2,104,False,248,True,False,False,67,True,69.0,173,1,True,1,104,False,True,True,109,True,133.0,251,2,True,0,104,False,21,72.0,72,True,0.7916666666666666,1,15,False,75.0,HORIZON,57,47.409041912141824,986291564,3795,4044,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,EXTINCT,,,941314097,,,False,False
False,False,0,False,,75,0,True,2,85,False,201,True,False,False,45,True,69.0,141,1,True,1,85,False,False,False,70,True,78.0,207,2,True,0,85,False,23,74.0,74,True,0.8378378378378378,1,12,False,94.0,HORIZON,62,59.41933252988442,981623807,5281,5530,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,HORIZON,,,963058258,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,EXTINCT,,,983947475,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,EXTINCT,,,943181657,,,False,False
