tag,seed,PRIMARY_CODE,PRIMARY_REASON,post_removal_identity_lifetime,n_Y_births,n_Y_removals,daughter_particle_steps,expected_Y_deaths_at_muY,identity_termination_type,secondary_codes
TLMR01_LAW_C_MCTT01_P_i001_s1474284807,1474284807,SUCCESS,complete turnover with local X function on both sides,309,2,1,514,0.3808,SPLIT_OR_TIE,L8@1251
TLMR01_LAW_C_MCTT01_P_i002_s2168595504,2168595504,L3,accepted birth occurs but no Y removal,161,1,0,216,0.16,SPLIT_OR_TIE,L8@858
TLMR01_LAW_C_MCTT01_P_i005_s203158793,203158793,L3,accepted birth occurs but no Y removal,244,1,0,584,0.4327,SPLIT_OR_TIE,L8@824
TLMR01_LAW_C_MCTT01_P_i009_s2255663407,2255663407,L3,accepted birth occurs but no Y removal,88,1,0,155,0.1148,SPLIT_OR_TIE,L8@1422
TLMR01_LAW_C_MCTT01_P_i015_s1512492624,1512492624,L3,accepted birth occurs but no Y removal,276,2,0,337,0.2497,SPLIT_OR_TIE,L8@1179
TLMR01_LAW_C_MCTT01_P_i020_s1557150137,1557150137,L3,accepted birth occurs but no Y removal,335,3,0,555,0.4112,SPLIT_OR_TIE,L8@993
TLMR01_LAW_C_MCTT01_P_i031_s183681731,183681731,L3,accepted birth occurs but no Y removal,142,1,0,278,0.206,SPLIT_OR_TIE,L8@862
TLMR01_LAW_C_MCTT01_P_i037_s4195007327,4195007327,L3,accepted birth occurs but no Y removal,405,2,0,576,0.4268,SPLIT_OR_TIE,L8@884
TLMR01_LAW_C_MCTT01_P_i041_s1110731446,1110731446,L3,accepted birth occurs but no Y removal,180,1,0,303,0.2245,SPLIT_OR_TIE,L8@2559
TLMR01_LAW_C_MCTT01_P_i043_s2646349982,2646349982,L2,no accepted Y birth inside locked identity,40,0,0,82,0.0608,SPLIT_OR_TIE,L8@2057
TLMR01_LAW_C_MCTT01_P_i045_s1775703340,1775703340,L3,accepted birth occurs but no Y removal,545,5,0,1324,0.9809,SPLIT_OR_TIE,L8@1607
TLMR01_LAW_C_MCTT01_P_i058_s2121762450,2121762450,L3,accepted birth occurs but no Y removal,298,4,0,1360,1.0076,SPLIT_OR_TIE,L8@1226
TLMR01_LAW_C_MCTT01_P_i079_s3754004101,3754004101,L3,accepted birth occurs but no Y removal,216,2,0,292,0.2163,SPLIT_OR_TIE,L8@1056
TLMR01_LAW_C_MCTT01_P_i083_s460074954,460074954,L2,no accepted Y birth inside locked identity,52,0,0,106,0.0785,SPLIT_OR_TIE,L8@658
TLMR01_LAW_C_MCTT01_P_i093_s3302628962,3302628962,L3,accepted birth occurs but no Y removal,156,1,0,273,0.2023,SPLIT_OR_TIE,L8@759
TLMR01_LAW_C_MCTT01_P_i119_s2378920449,2378920449,L3,accepted birth occurs but no Y removal,987,2,0,1248,0.9246,SPLIT_OR_TIE,L8@1534
TLMR01_LAW_C_MCTT01_P_i150_s1335159117,1335159117,L3,accepted birth occurs but no Y removal,597,2,0,680,0.5038,SPLIT_OR_TIE,L8@1732
TLMR01_LAW_C_MCTT01_P_i153_s1007174239,1007174239,L2,no accepted Y birth inside locked identity,31,0,0,128,0.0948,SPLIT_OR_TIE,L8@714
TLMR01_LAW_C_MCTT01_P_i156_s1109449052,1109449052,L2,no accepted Y birth inside locked identity,59,0,0,180,0.1334,SPLIT_OR_TIE,L8@2407
TLMR01_LAW_C_MCTT01_P_i158_s1907819116,1907819116,L3,accepted birth occurs but no Y removal,1472,2,0,1712,1.2684,SPLIT_OR_TIE,L8@2890
TLMR01_LAW_C_MCTT01_P_i163_s1806899634,1806899634,L3,accepted birth occurs but no Y removal,267,1,0,364,0.2697,SPLIT_OR_TIE,L8@995
TLMR01_LAW_C_MCTT01_P_i184_s927162381,927162381,L2,no accepted Y birth inside locked identity,58,0,0,118,0.0874,SPLIT_OR_TIE,L8@1262
