tag,seed,trigger_step,locked_daughter_cells,locked_daughter_ncells,locked_daughter_nY,locked_daughter_local_X_disc_mass,parent_local_X_disc_mass,parent_nY,parent_mass_removed,post_removal_identity_lifetime,maximum_locked_daughter_nY,daughter_particle_steps,fraction_of_life_at_nY_1,first_accepted_Y_birth,first_Y_removal,n_Y_births,n_Y_removals,turnover_status,local_X_before_status,local_X_after_status,identity_termination_type,n_successor_candidates_at_termination,world_nY_at_trigger,world_nY_at_identity_end,ambient_complete_interval_count,ambient_functional_interval_count,world_level_locked_daughter_verdict,removal_fidelity_all_pass,Y_removals_attributed_at_t_minus_1,would_be_complete_under_t_minus_1
TLMR01_LAW_C_MCTT01_P_i001_s1474284807,1474284807,942,"17,25",1,1,77,77,1,1,309,2,514,0.3419,1014,1112,2,1,COMPLETE_AND_FUNCTIONAL,OK,OK,SPLIT_OR_TIE,2,2,2,75,70,LOCKED_DAUGHTER_FUNCTIONAL_COMPLETE_TURNOVER,True,1,True
TLMR01_LAW_C_MCTT01_P_i002_s2168595504,2168595504,697,"14,12",1,1,70,93,1,1,161,2,216,0.6667,805,,1,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,2,2,92,87,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,0,False
TLMR01_LAW_C_MCTT01_P_i005_s203158793,203158793,580,"22,26;23,25;26,25",3,3,102,70,1,1,244,3,584,0.0,790,,1,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,4,3,113,102,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,1,True
TLMR01_LAW_C_MCTT01_P_i009_s2255663407,2255663407,1334,"23,20;24,21",2,2,112,72,1,1,88,2,155,0.2584,1375,,1,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,3,2,85,72,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,0,False
TLMR01_LAW_C_MCTT01_P_i015_s1512492624,1512492624,903,"23,30",1,1,67,71,1,1,276,3,337,0.8339,1134,,2,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,2,3,78,71,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,0,False
TLMR01_LAW_C_MCTT01_P_i020_s1557150137,1557150137,658,"9,19",1,1,93,92,1,1,335,4,555,0.6577,879,,3,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,2,3,100,92,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,1,True
TLMR01_LAW_C_MCTT01_P_i031_s183681731,183681731,720,"19,9",1,1,68,79,1,1,142,2,278,0.0559,728,,1,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,2,2,104,96,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,0,False
TLMR01_LAW_C_MCTT01_P_i037_s4195007327,4195007327,479,"24,19",1,1,45,70,1,1,405,3,576,0.7857,798,,2,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,2,3,99,92,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,0,False
TLMR01_LAW_C_MCTT01_P_i041_s1110731446,1110731446,2379,"1,28",1,1,55,84,1,1,180,2,303,0.326,2438,,1,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,2,2,86,80,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,0,False
TLMR01_LAW_C_MCTT01_P_i043_s2646349982,2646349982,2017,"25,12;26,13",2,2,85,79,1,1,40,2,82,0.0,,,0,0,NOT_COMPLETE,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,NOT_APPLICABLE_NO_COMPLETE_TURNOVER,SPLIT_OR_TIE,2,3,2,77,66,LOCKED_DAUGHTER_NO_FUNCTIONAL_COMPLETE_TURNOVER,True,0,False
