block,seed,t_m,class,R1_EXACT,fraction_new,daughter_mass_tm,parent_mass_tm,NX_world_at_intervention,frozen_D_bound,bound_minus_daughter_mass_tm,SEL_D,SEL_E,SEL_daughter_exists,SEL_R2,SHAM_D,SHAM_daughter_exists,GLOBAL_daughter_exists,fixed_mass_start,SEL_fixed_mass_end,SHAM_fixed_mass_end,GLOBAL_fixed_mass_end,SEL_fixed_births,SHAM_fixed_births,GLOBAL_fixed_births
0,945575213,2967,daughter_Y_centre_lost,True,0.890411,73.0,96.0,209,88,15.0,False,0,False,False,True,True,False,74,68,83,20,108,118,0
1,986782284,8914,FROZEN_R2_PASS,True,0.865854,82.0,73.0,229,96,14.0,True,71,True,True,False,True,False,83,85,61,23,133,88,0
3,988835594,940,local_mass_STABLE_but_frozen_D_fails,True,0.846154,65.0,81.0,231,97,32.0,False,72,True,False,False,True,False,65,90,73,23,159,135,0
7,982799593,3086,local_mass_DECLINES_while_production_continues,True,0.790698,86.0,86.0,200,85,-1.0,False,42,True,False,False,True,False,84,56,91,20,110,120,0
8,971425726,1735,local_mass_STABLE_but_frozen_D_fails,True,0.920635,63.0,74.0,214,90,27.0,False,81,True,False,False,True,False,65,95,38,15,137,50,0
13,988685513,8685,local_mass_DECLINES_while_production_continues,True,0.969231,65.0,91.0,229,96,31.0,False,52,True,False,False,True,False,67,56,68,17,104,123,0
17,985291660,3139,local_mass_DECLINES_while_production_continues,True,0.936709,79.0,54.0,208,88,9.0,False,62,True,False,False,True,False,80,58,72,14,122,93,0
19,987032198,10553,daughter_Y_centre_lost,True,0.776471,85.0,80.0,225,95,10.0,False,0,False,False,False,True,False,85,35,80,30,65,134,0
21,986291564,4044,local_mass_DECLINES_while_production_continues,True,0.791667,72.0,75.0,248,104,32.0,False,67,True,False,True,True,False,72,58,121,27,112,159,0
23,981623807,5530,local_mass_DECLINES_while_production_continues,True,0.837838,74.0,94.0,201,85,11.0,False,45,True,False,False,True,False,77,47,88,12,86,138,0
29,976329313,1671,local_mass_STABLE_but_frozen_D_fails,True,0.8,85.0,77.0,225,95,10.0,False,57,True,False,True,True,False,84,88,39,19,110,34,0
38,967857741,6730,local_mass_STABLE_but_frozen_D_fails,True,0.971429,70.0,83.0,232,97,27.0,False,56,True,False,True,True,False,72,75,106,22,115,162,0
44,954473641,2420,local_mass_STABLE_but_frozen_D_fails,True,0.90625,64.0,100.0,261,109,45.0,False,57,True,False,True,True,False,66,81,42,18,120,79,0
50,986583535,1969,local_mass_STABLE_but_frozen_D_fails,True,0.891566,83.0,99.0,253,106,23.0,False,78,True,False,True,True,False,81,86,139,19,145,170,0
60,945670394,1037,local_mass_DECLINES_while_production_continues,True,0.942857,70.0,78.0,222,93,23.0,False,55,True,False,False,True,False,71,45,38,10,79,49,0
61,982915845,6548,FROZEN_R2_PASS,True,0.707865,89.0,66.0,212,89,0.0,True,72,True,True,True,True,False,90,81,89,23,127,114,0
67,953453832,5293,local_mass_DECLINES_while_production_continues,True,0.901639,61.0,81.0,206,87,26.0,False,59,True,False,False,True,False,61,36,55,15,70,98,0
69,975858008,1381,local_mass_STABLE_but_frozen_D_fails,True,0.796296,54.0,74.0,218,92,38.0,False,55,True,False,True,True,False,55,61,65,15,105,101,0
70,968435887,10359,local_mass_DECLINES_while_production_continues,True,0.822581,62.0,82.0,231,97,35.0,False,45,True,False,False,True,False,62,48,69,15,47,93,0
80,982257479,3507,FROZEN_R2_PASS,True,0.727273,77.0,61.0,201,85,8.0,True,80,True,True,False,True,False,77,80,83,19,147,114,0
83,956882268,10708,local_mass_STABLE_but_frozen_D_fails,True,0.921875,64.0,81.0,235,99,35.0,False,46,True,False,False,True,False,63,64,85,21,104,116,0
84,955782649,646,local_mass_STABLE_but_frozen_D_fails,True,0.927536,69.0,70.0,186,79,10.0,False,58,True,False,False,True,False,69,79,16,20,107,18,0
