block,seed,W1_0_to_1_3_efold_mass_SELECTIVE,W1_0_to_1_3_efold_mass_SHAM,W1_0_to_1_3_efold_mass_GLOBAL,W1_0_to_1_3_efold_births_SELECTIVE,W1_0_to_1_3_efold_births_SHAM,W1_0_to_1_3_efold_births_GLOBAL,W1_0_to_1_3_efold_DAUGHTER_ONLY_mass,W1_0_to_1_3_efold_PARENT_INCREMENT_mass,W1_0_to_1_3_efold_FULL_SOURCE_mass,W1_0_to_1_3_efold_DAUGHTER_ONLY_birth,W1_0_to_1_3_efold_PARENT_INCREMENT_birth,W1_0_to_1_3_efold_FULL_SOURCE_birth,W2_1_3_to_2_3_efold_mass_SELECTIVE,W2_1_3_to_2_3_efold_mass_SHAM,W2_1_3_to_2_3_efold_mass_GLOBAL,W2_1_3_to_2_3_efold_births_SELECTIVE,W2_1_3_to_2_3_efold_births_SHAM,W2_1_3_to_2_3_efold_births_GLOBAL,W2_1_3_to_2_3_efold_DAUGHTER_ONLY_mass,W2_1_3_to_2_3_efold_PARENT_INCREMENT_mass,W2_1_3_to_2_3_efold_FULL_SOURCE_mass,W2_1_3_to_2_3_efold_DAUGHTER_ONLY_birth,W2_1_3_to_2_3_efold_PARENT_INCREMENT_birth,W2_1_3_to_2_3_efold_FULL_SOURCE_birth,W3_2_3_to_1_efold_mass_SELECTIVE,W3_2_3_to_1_efold_mass_SHAM,W3_2_3_to_1_efold_mass_GLOBAL,W3_2_3_to_1_efold_births_SELECTIVE,W3_2_3_to_1_efold_births_SHAM,W3_2_3_to_1_efold_births_GLOBAL,W3_2_3_to_1_efold_DAUGHTER_ONLY_mass,W3_2_3_to_1_efold_PARENT_INCREMENT_mass,W3_2_3_to_1_efold_FULL_SOURCE_mass,W3_2_3_to_1_efold_DAUGHTER_ONLY_birth,W3_2_3_to_1_efold_PARENT_INCREMENT_birth,W3_2_3_to_1_efold_FULL_SOURCE_birth,end_mass_SELECTIVE,end_mass_SHAM,end_mass_GLOBAL,births_SELECTIVE,births_SHAM,births_GLOBAL
0,945575213,79.23809523809524,78.39285714285714,61.214285714285715,50.0,34.0,0.0,18.023809523809526,-0.845238095238102,17.178571428571423,50.0,-16.0,34.0,89.10843373493977,88.144578313253,38.903614457831324,54.0,44.0,0.0,50.20481927710844,-0.963855421686759,49.24096385542168,54.0,-10.0,44.0,78.75903614457832,90.5421686746988,24.46987951807229,4.0,40.0,0.0,54.28915662650603,11.783132530120483,66.07228915662651,4.0,36.0,40.0,68.0,83.0,20.0,108.0,118.0,0.0
1,986782284,89.61904761904762,75.21428571428571,61.642857142857146,33.0,32.0,0.0,27.976190476190474,-14.404761904761912,13.571428571428562,33.0,-1.0,32.0,88.6987951807229,93.06024096385542,38.75903614457831,53.0,51.0,0.0,49.939759036144586,4.361445783132524,54.30120481927711,53.0,-2.0,51.0,87.6987951807229,78.6987951807229,27.373493975903614,47.0,5.0,0.0,60.32530120481928,-9.0,51.32530120481928,47.0,-42.0,5.0,85.0,61.0,23.0,133.0,88.0,0.0
3,988835594,89.52380952380952,70.76190476190476,45.23809523809524,69.0,48.0,0.0,44.28571428571428,-18.76190476190476,25.52380952380952,69.0,-21.0,48.0,97.16867469879519,94.44578313253012,28.313253012048193,52.0,60.0,0.0,68.855421686747,-2.722891566265062,66.13253012048193,52.0,8.0,60.0,95.33734939759036,90.13253012048193,21.93975903614458,38.0,27.0,0.0,73.39759036144578,-5.204819277108427,68.19277108433735,38.0,-11.0,27.0,90.0,73.0,23.0,159.0,135.0,0.0
7,982799593,82.30952380952381,84.08333333333333,68.38095238095238,44.0,32.0,0.0,13.92857142857143,1.7738095238095184,15.702380952380949,44.0,-12.0,32.0,81.3132530120482,88.10843373493977,42.506024096385545,46.0,45.0,0.0,38.80722891566265,6.795180722891573,45.60240963855422,46.0,-1.0,45.0,67.78313253012048,97.75903614457832,24.349397590361445,20.0,43.0,0.0,43.433734939759034,29.975903614457835,73.40963855421687,20.0,23.0,43.0,56.0,91.0,20.0,110.0,120.0,0.0
8,971425726,69.04761904761905,63.964285714285715,49.154761904761905,33.0,35.0,0.0,19.892857142857146,-5.083333333333336,14.80952380952381,33.0,2.0,35.0,82.0,64.42168674698796,29.93975903614458,66.0,15.0,0.0,52.06024096385542,-17.57831325301204,34.48192771084338,66.0,-51.0,15.0,96.37349397590361,46.36144578313253,18.481927710843372,38.0,0.0,0.0,77.89156626506025,-50.01204819277108,27.87951807228916,38.0,-38.0,0.0,95.0,38.0,15.0,137.0,50.0,0.0
13,988685513,69.92857142857143,74.20238095238095,54.666666666666664,44.0,50.0,0.0,15.261904761904766,4.273809523809518,19.535714285714285,44.0,6.0,50.0,64.19277108433735,79.08433734939759,31.50602409638554,27.0,38.0,0.0,32.68674698795181,14.891566265060234,47.57831325301204,27.0,11.0,38.0,62.433734939759034,76.46987951807229,20.903614457831324,33.0,35.0,0.0,41.53012048192771,14.036144578313255,55.566265060240966,33.0,2.0,35.0,56.0,68.0,17.0,104.0,123.0,0.0
17,985291660,83.07142857142857,75.41666666666667,67.39285714285714,36.0,38.0,0.0,15.67857142857143,-7.654761904761898,8.023809523809533,36.0,2.0,38.0,68.51807228915662,90.19277108433735,39.12048192771084,42.0,37.0,0.0,29.39759036144578,21.67469879518073,51.07228915662651,42.0,-5.0,37.0,65.1566265060241,81.07228915662651,19.6144578313253,44.0,18.0,0.0,45.5421686746988,15.915662650602414,61.457831325301214,44.0,-26.0,18.0,58.0,72.0,14.0,122.0,93.0,0.0
19,987032198,95.26190476190476,93.72619047619048,67.14285714285714,62.0,46.0,0.0,28.11904761904762,-1.5357142857142776,26.583333333333343,62.0,-16.0,46.0,73.83132530120481,114.08433734939759,39.265060240963855,3.0,61.0,0.0,34.56626506024096,40.25301204819277,74.81927710843374,3.0,58.0,61.0,46.34939759036145,97.144578313253,26.746987951807228,0.0,27.0,0.0,19.60240963855422,50.79518072289156,70.39759036144578,0.0,27.0,27.0,35.0,80.0,30.0,65.0,134.0,0.0
21,986291564,81.54761904761905,73.82142857142857,58.833333333333336,56.0,35.0,0.0,22.714285714285715,-7.726190476190482,14.988095238095234,56.0,-21.0,35.0,77.63855421686748,82.4578313253012,38.45783132530121,36.0,46.0,0.0,39.18072289156627,4.819277108433724,43.99999999999999,36.0,10.0,46.0,65.08433734939759,96.06024096385542,27.843373493975903,20.0,78.0,0.0,37.24096385542168,30.975903614457835,68.21686746987952,20.0,58.0,78.0,58.0,121.0,27.0,112.0,159.0,0.0
23,981623807,82.36904761904762,75.33333333333333,55.154761904761905,55.0,50.0,0.0,27.214285714285715,-7.035714285714292,20.178571428571423,55.0,-5.0,50.0,84.5421686746988,76.80722891566265,31.50602409638554,31.0,43.0,0.0,53.036144578313255,-7.734939759036152,45.3012048192771,31.0,12.0,43.0,58.46987951807229,88.6987951807229,18.662650602409638,0.0,45.0,0.0,39.80722891566265,30.228915662650607,70.03614457831326,0.0,45.0,45.0,47.0,88.0,12.0,86.0,138.0,0.0
29,976329313,79.22619047619048,85.32142857142857,61.42857142857143,29.0,30.0,0.0,17.79761904761905,6.095238095238088,23.89285714285714,29.0,1.0,30.0,86.07228915662651,65.6987951807229,34.28915662650602,43.0,4.0,0.0,51.78313253012049,-20.373493975903614,31.409638554216876,43.0,-39.0,4.0,88.62650602409639,53.08433734939759,21.49397590361446,38.0,0.0,0.0,67.13253012048193,-35.54216867469879,31.590361445783135,38.0,-38.0,0.0,88.0,39.0,19.0,110.0,34.0,0.0
