arm_id,branch,usable_frames,Q_mean,Q_median,Q_var,Q_sd,Q_min,Q_max,Q_q05,Q_q10,Q_q25,frac_Q_zero,n_zero_episodes,mean_zero_run,max_zero_run,acf1,acf5,iat,n_eff_blocks,early_late_drift,corr_Q_nX,corr_Q_nSY,corr_Q_free,mean_nX_at_org,mean_nSY_at_org,mean_free_at_org,mean_cand_Y,n_org_cells_always_one,frac_frames_clamp_relevant_kY1
M__seed9300014,M,9000,3.171222222222222,0.0,21.945676914718916,4.684621320311698,0.0,28.0,0.0,0.0,0.0,0.5464444444444444,1026,4.7933723196881095,67,0.6504515284963792,0.14146586343729065,8.30653886453042,1083.4837646315862,-0.08266666666666644,0.2607815716498135,0.5953966985828787,-0.5508328944361348,4.312777777777778,1.0096666666666667,8.91311111111111,0.9891111111111112,True,0.8997777777777778
M__seed9300015,M,9000,2.8725555555555555,0.0,20.760175710881455,4.556333582046145,0.0,28.0,0.0,0.0,0.0,0.5902222222222222,936,5.6752136752136755,909,0.6529306504245226,0.19727786403158046,35.33533229909496,254.70257146076185,-0.6843333333333335,0.3347663798648744,0.3460362319722785,-0.4779935580530883,3.8573333333333335,1.2743333333333333,8.802222222222222,1.2402222222222221,True,0.7978888888888889
M__seed9300016,M,9000,3.1066666666666665,0.0,21.384553839315483,4.624343611726478,0.0,28.0,0.0,0.0,0.0,0.5428888888888889,1058,4.618147448015123,53,0.6431417890196295,0.16066850643584274,10.805483478452436,832.9104401433949,-0.23833333333333329,0.28367394021095277,0.6246223918146278,-0.5574566606237653,4.325333333333333,0.9157777777777778,9.059333333333333,0.8952222222222223,True,0.9258888888888889
M__seed9300017,M,9000,3.3845555555555555,0.0,23.29170499191268,4.826148049108386,0.0,28.0,0.0,0.0,0.0,0.5262222222222223,1051,4.506184586108468,134,0.6425552768629458,0.14057777487776152,6.375169455490926,1411.727180404328,-0.3546666666666667,0.24543313054034205,0.6331565115891034,-0.5586027975348437,4.433888888888889,1.0142222222222221,8.817777777777778,0.9867777777777778,True,0.9224444444444444
M__seed9300018,M,9000,3.086,0.0,21.141397488609844,4.597977543291163,0.0,28.0,0.0,0.0,0.0,0.5567777777777778,1095,4.576255707762557,42,0.6241215998180448,0.15129153096116504,5.907149827809986,1523.577404051838,0.12633333333333363,0.27679103241622177,0.6300864621572576,-0.5648457071669334,4.485333333333333,0.9023333333333333,8.92088888888889,0.8724444444444445,True,0.9235555555555556
M__seed9300019,M,9000,3.1478888888888887,0.0,20.83588841970095,4.5646345329830025,0.0,28.0,0.0,0.0,0.0,0.5334444444444445,1042,4.607485604606526,80,0.6471223708137008,0.1433507307879039,6.542063546130058,1375.7127145797795,-0.1419999999999999,0.24792837749252913,0.6499302690196231,-0.5598887284417555,4.323666666666667,0.9376666666666666,9.049666666666667,0.9215555555555556,True,0.9231111111111111
M__seed9300020,M,9000,3.2005555555555554,0.0,22.179464076255385,4.709507838007639,0.0,28.0,0.0,0.0,0.0,0.5385555555555556,1024,4.7333984375,43,0.6501328143051907,0.14632072859609868,7.224206904330976,1245.8114944914466,0.1293333333333333,0.26673068044975873,0.650080113100867,-0.5576081768469041,4.3198888888888884,0.9543333333333334,9.011,0.9301111111111111,True,0.9168888888888889
M__seed9300021,M,9000,3.2284444444444444,0.0,21.573765776444294,4.644756804876256,0.0,28.0,0.0,0.0,0.0,0.534,1044,4.603448275862069,170,0.6440832183910586,0.175908376222629,6.124112032193863,1469.6008095031366,-0.40766666666666707,0.2556175108932826,0.5980623608490336,-0.5463235824727692,4.372444444444445,0.9935555555555555,8.900222222222222,0.9632222222222222,True,0.9166666666666666
M__seed9300022,M,9000,3.4298888888888888,0.0,23.981971317800742,4.897139095206582,0.0,28.0,0.0,0.0,0.0,0.5262222222222223,1079,4.389249304911956,58,0.641898800151569,0.12985687491190998,6.379948716904967,1410.6696463174815,-0.08933333333333326,0.24612869984554783,0.626957851965626,-0.5457279173091766,4.550888888888889,0.989,8.734222222222222,0.959,True,0.9287777777777778
M__seed9300023,M,9000,2.9201111111111113,0.0,18.951167895198232,4.353293913256746,0.0,28.0,0.0,0.0,0.0,0.542,1035,4.71304347826087,58,0.6357396573047965,0.15898369221127004,5.876281609635077,1531.5807849036883,-0.42833333333333323,0.2800542038020848,0.5450703474735572,-0.547243133909864,3.9326666666666665,1.0467777777777778,9.227555555555556,1.0296666666666667,True,0.8778888888888889
