arm,key,shape,dtype,ndim,cadence,column_semantics,coordinates_present,values_are,per_step_lattice_occupancy_invertible
M__seed9300014,birth_offsets,3862x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300014,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300014,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300014,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300014,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300014,molecule_births,118x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300014,molecule_deaths,5258x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300014,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300014,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300014,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300014,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300014,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300014,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300014,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300014,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
