arm,block,law,n_sink_elig,planned,q_event,realized_sink,reject_reason,rejected,sink_capacity,size,source_capacity,time
PARENT,LAW_16_L24_S950000,LAW_16,108,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,87.4552509441925,24,20.51724956467212,272
PARENT,LAW_16_L24_S950000,LAW_16,105,2.0764332796894673,2.0764332796894673,2.076433279689467,NONE,False,85.07154411421618,24,18.624219595411766,288
PARENT,LAW_16_L24_S950000,LAW_16,101,2.0764332796894673,2.0764332796894673,2.076433279689468,NONE,False,82.1878191235399,24,16.791730976181142,304
PARENT,LAW_16_L24_S950000,LAW_16,97,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,79.47978181441087,24,15.041291986097516,320
PARENT,LAW_16_L24_S950000,LAW_16,94,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,76.96636047244687,24,13.345538170776901,336
PARENT,LAW_16_L24_S950000,LAW_16,91,2.0764332796894673,2.0764332796894673,2.076433279689467,NONE,False,74.43813169949543,24,11.65240635842084,352
PARENT,LAW_16_L24_S950000,LAW_16,88,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,72.1124975043458,24,9.945886399403559,368
PARENT,LAW_16_L24_S950000,LAW_16,85,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,69.41541888055912,24,8.274919759529723,384
PARENT,LAW_16_L24_S950000,LAW_16,66,2.0764332796894673,0.44129815620968005,0.44129815620968005,NONE,False,54.14334253744056,24,0.44129815620968005,528
PARENT,LAW_16_L24_S950000,LAW_16,53,2.0764332796894673,0.3126962979741419,0.3126962979741419,NONE,False,43.630965306132,24,0.3126962979741419,784
PARENT,LAW_16_L24_S950000,LAW_16,44,2.0764332796894673,0.2526581576125003,0.2526581576125003,NONE,False,36.778399192192225,24,0.2526581576125003,1040
PARENT,LAW_16_L24_S950000,LAW_16,38,2.0764332796894673,0.2212888062439743,0.2212888062439743,NONE,False,31.74223514709942,24,0.2212888062439743,1296
PARENT,LAW_16_L24_S950000,LAW_16,33,2.0764332796894673,0.20421081113299866,0.20421081113299866,NONE,False,27.540770509811104,24,0.20421081113299866,1552
PARENT,LAW_16_L24_S950000,LAW_16,30,2.0764332796894673,0.19746076119325273,0.19746076119325273,NONE,False,24.545095561677638,24,0.19746076119325273,1808
PARENT,LAW_16_L24_S950000,LAW_16,26,2.0764332796894673,0.19593025260832952,0.19593025260832952,NONE,False,21.184381727865293,24,0.19593025260832952,2064
PARENT,LAW_16_L24_S950000,LAW_16,22,2.0764332796894673,0.19666599166515708,0.19666599166515708,NONE,False,17.986753950366218,24,0.19666599166515708,2320
PARENT,LAW_16_L24_S950000,LAW_16,20,2.0764332796894673,0.19841751563657573,0.19841751563657573,NONE,False,15.715864357508503,24,0.19841751563657573,2576
PARENT,LAW_16_L24_S950000,LAW_16,17,2.0764332796894673,0.21363653243730873,0.21363653243730873,NONE,False,13.168918210436633,24,0.21363653243730873,2832
PARENT,LAW_16_L24_S950000,LAW_16,16,2.0764332796894673,0.22645445070947645,0.22645445070947645,NONE,False,11.897064319478735,24,0.22645445070947645,3088
PARENT,LAW_16_L24_S950000,LAW_16,13,2.0764332796894673,0.2356452299856826,0.2356452299856826,NONE,False,10.119265652007016,24,0.2356452299856826,3344
PARENT,LAW_16_L24_S950000,LAW_16,11,2.0764332796894673,0.2501139736624015,0.2501139736624015,NONE,False,8.459088758599854,24,0.2501139736624015,3600
PARENT,LAW_16_L24_S950000,LAW_16,11,2.0764332796894673,0.25434847502010305,0.25434847502010305,NONE,False,8.034315976419723,24,0.25434847502010305,3856
PARENT,LAW_16_L24_S950000,LAW_16,9,2.0764332796894673,0.2686574458732853,0.2686574458732853,NONE,False,6.279895350013962,24,0.2686574458732853,4112
PARENT,LAW_16_L24_S950000,LAW_16,7,2.0764332796894673,0.2863981349009095,0.2863981349009095,NONE,False,4.83129125504314,24,0.2863981349009095,4368
PARENT,LAW_16_L24_S950000,LAW_16,3,2.0764332796894673,0.29235935663033286,0.29235935663033286,NONE,False,2.3520226340653667,24,0.29235935663033286,4624
PARENT,LAW_16_L24_S950000,LAW_16,5,2.0764332796894673,0.30186002028403447,0.30186002028403447,NONE,False,2.9408277005214134,24,0.30186002028403447,4880
PARENT,LAW_16_L24_S950000,LAW_16,3,2.0764332796894673,0.3115247736759461,0.3115247736759461,NONE,False,1.640007801514603,24,0.3115247736759461,5136
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,108,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,87.4552509441925,24,20.544749055807472,272
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,107,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,86.98359919490085,24,20.016400805099217,288
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,86.64159016222744,24,19.358409837772548,304
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,86.73303558688117,24,19.26696441311882,320
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.076433279689468,NONE,False,86.55975018752343,24,19.440249812476587,336
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,86.41838866571696,24,19.58161133428301,352
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,86.29863350398999,24,19.701366496009992,368
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.076433279689467,NONE,False,86.19345342788165,24,19.806546572118346,384
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.076433279689468,NONE,False,85.53645600634496,24,20.46354399365497,528
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.076433279689467,NONE,False,84.76674358994612,24,21.233256410053826,784
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,105,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,83.73125898396833,24,21.26874101603163,1040
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,105,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,83.22678949109917,24,21.773210508900863,1296
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,105,2.0764332796894673,2.0764332796894673,2.076433279689467,NONE,False,82.77729916294325,24,22.222700837056816,1552
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,106,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,82.80439651777566,24,23.195603482224346,1808
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,105,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,81.96790026072807,24,23.032099739271892,2064
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,105,2.0764332796894673,2.0764332796894673,2.076433279689467,NONE,False,81.61161962559387,24,23.388380374406072,2320
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,105,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,81.25606708612837,24,23.743932913871674,2576
SRC_SINKSIDE,LAW_16_L24_S950000,LAW_16,105,2.0764332796894673,2.0764332796894673,2.0764332796894673,NONE,False,80.93793928838802,24,24.06206071161199,2832
