H0,H64,H8,M256,block,checkpoint,quantum,rho_observed_next_window,rho_probe_slope64,rho_probe_slope8,saturation_mass_added,size,window
0.0,2.3529422631993273,0.3977947471114306,167.94994007010672,L24_S990000,272,2.099374250876334,0.03736396015638631,0.03676472286248949,0.049724343388928824,17.685628923642213,24,272-1296
0.0,0.7650465526829886,0.11203306185032524,167.94994007010672,L24_S990000,1296,2.099374250876334,0.01230546114596981,0.011953852385671697,0.014004132731290656,0.0,24,1296-2320
0.0,0.6861938646286412,0.09759235693799806,167.94994007010672,L24_S990000,2320,2.099374250876334,0.012458340230470565,0.010721779134822518,0.012199044617249757,0.0,24,2320-3344
0.0,0.8104797394770481,0.11626606488521629,167.94994007010672,L24_S990000,3344,2.099374250876334,0.015384455749644352,0.012663745929328877,0.014533258110652036,0.0,24,3344-4368
0.0,0.96292926605547,0.1381931053640688,167.94994007010672,L24_S990000,4368,2.099374250876334,,0.015045769782116719,0.0172741381705086,0.0,24,
0.0,2.345037836662649,0.3961578901126286,164.81281559012086,L24_S990001,272,2.0601601948765107,0.03855196359081484,0.03664121619785389,0.04951973626407857,19.061951887375056,24,272-1296
0.0,0.780272002471121,0.11404370391286434,164.81281559012086,L24_S990001,1296,2.0601601948765107,0.012820570298231644,0.012191750038611266,0.014255462989108042,0.0,24,1296-2320
0.0,0.7238766915501348,0.10284040772325764,164.81281559012086,L24_S990001,2320,2.0601601948765107,0.013867822385667132,0.011310573305470856,0.012855050965407205,0.0,24,2320-3344
0.0,0.8787098746845217,0.12632299910470934,164.81281559012086,L24_S990001,3344,2.0601601948765107,0.01722819821967761,0.013729841791945651,0.015790374888088668,0.0,24,3344-4368
0.0,1.0654173683941242,0.1517003829643564,164.81281559012086,L24_S990001,4368,2.0601601948765107,,0.01664714638115819,0.01896254787054455,0.0,24,
0.0,2.2986118915561886,0.389759237438026,165.32770555011422,L24_S990002,272,2.0665963193764276,0.040375398332417094,0.03591581080556545,0.04871990467975325,21.4855049162189,24,272-1296
0.0,0.790648526007726,0.11444421341406974,165.32770555011422,L24_S990002,1296,2.0665963193764276,0.01350758147725492,0.012353883218870718,0.014305526676758717,0.0,24,1296-2320
