world,seed,split,steps_recorded,stop,E_w_mean_Q_founder,S_w_q10_Q_founder,q25,median,q90,max,frac_zero_Q,mean_cand_Y_founder,EXPOSURE_PHASE,mean_field_Q_POSITION,mean_nSY,mean_free,mean_N_X,distinct_source_cells,iat_Q_founder,max_zero_run,max_high_run
A_A0_i000_s970247606,970247606,DISCOVERY,11000,HORIZON,3.156,0.0,0.0,0.0,10.0,28.0,0.5533333333333333,1.048888888888889,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22439497599451302,2.952187328532236,9.996141975308642,122.16511111111112,325,9.149865995823223,188,16
A_A0_i001_s950550891,950550891,DISCOVERY,11000,HORIZON,3.2515555555555555,0.0,0.0,0.0,10.0,28.0,0.5351111111111111,0.9143333333333333,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21899674211248285,2.9501600651577506,9.996141975308642,121.03522222222222,289,6.838310454315378,85,20
A_A0_i002_s941818304,941818304,DISCOVERY,11000,HORIZON,3.1706666666666665,0.0,0.0,0.0,10.0,28.0,0.539,0.9934444444444445,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22463966049382716,2.9503562242798353,9.996141975308642,122.39777777777778,294,7.217234834515512,63,13
A_A0_i003_s983718995,983718995,VALIDATION,11000,HORIZON,2.6302222222222222,0.0,0.0,0.0,8.0,28.0,0.6051111111111112,1.173,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.19912165637860083,2.9568370198902607,9.996141975308642,109.74722222222222,344,13.870875481521624,670,13
A_A0_i004_s950918058,950918058,VALIDATION,11000,HORIZON,3.356333333333333,0.0,0.0,0.0,10.0,28.0,0.5156666666666667,0.9373333333333334,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22133839163237312,2.950129458161866,9.996141975308642,122.62577777777778,272,5.360045917521679,33,15
A_A0_i005_s981463531,981463531,VALIDATION,11000,HORIZON,3.3774444444444445,0.0,0.0,0.0,10.0,28.0,0.531,1.0242222222222221,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2251000514403292,2.9507279663923183,9.996141975308642,123.607,346,7.143630046032484,128,17
A_A0_i006_s964136804,964136804,DISCOVERY,11000,HORIZON,1.8607777777777779,0.0,0.0,0.0,7.0,28.0,0.7517777777777778,1.8151111111111111,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.12704115226337448,2.9741611796982164,9.996141975308642,68.982,309,404.42989281747765,4059,13
A_A0_i007_s987080529,987080529,VALIDATION,11000,HORIZON,3.3133333333333335,0.0,0.0,0.0,10.0,28.0,0.5406666666666666,0.9814444444444445,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2186321159122085,2.9517055898491082,9.996141975308642,121.61,374,6.500749268475353,172,18
A_A0_i008_s952675162,952675162,DISCOVERY,11000,HORIZON,3.0176666666666665,0.0,0.0,0.0,9.0,28.0,0.5548888888888889,0.9863333333333333,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21644607338820301,2.953222736625514,9.996141975308642,117.29733333333333,309,9.160559108801516,49,20
A_A0_i009_s940707807,940707807,DISCOVERY,11000,HORIZON,2.659666666666667,0.0,0.0,0.0,8.0,28.0,0.6031111111111112,1.1385555555555555,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.18659705075445815,2.9578979766803837,9.996141975308642,104.28244444444445,351,14.42454559379292,525,15
A_A0_i010_s948648574,948648574,DISCOVERY,11000,HORIZON,3.042666666666667,0.0,0.0,0.0,9.0,28.0,0.5532222222222222,0.8308888888888889,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21385948216735254,2.950347736625514,9.996141975308642,118.61588888888889,298,6.005242841924797,42,13
A_A0_i011_s983260155,983260155,DISCOVERY,11000,HORIZON,3.094,0.0,0.0,0.0,9.0,28.0,0.5463333333333333,0.9633333333333334,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2107454561042524,2.953142575445816,9.996141975308642,117.50888888888889,315,5.533620607721851,65,18
A_A0_i012_s953464496,953464496,DISCOVERY,11000,HORIZON,3.297222222222222,0.0,0.0,0.0,10.0,28.0,0.5187777777777778,0.9424444444444444,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22419590192043895,2.9512965534979423,9.996141975308642,122.41288888888889,331,5.903146391271106,53,15
A_A0_i013_s950153464,950153464,DISCOVERY,11000,HORIZON,3.316222222222222,0.0,0.0,0.0,10.0,28.0,0.5377777777777778,0.884,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22217069615912208,2.9499703360768175,9.996141975308642,123.4901111111111,242,5.780632599444571,38,14
A_A0_i014_s959003162,959003162,DISCOVERY,11000,HORIZON,3.1494444444444443,0.0,0.0,0.0,9.0,28.0,0.5415555555555556,0.9761111111111112,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2201622085048011,2.950366512345679,9.996141975308642,121.00677777777778,402,5.78411664151477,87,15
A_A0_i015_s940941418,940941418,DISCOVERY,11000,HORIZON,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8473333333333333,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.00022222222222222223,3.002851508916324,9.996141975308642,0.10255555555555555,306,1.0,9000,0
A_A0_i016_s944310510,944310510,VALIDATION,11000,HORIZON,2.781,0.0,0.0,0.0,9.0,28.0,0.5954444444444444,1.0664444444444445,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.20770447530864197,2.9553646262002737,9.996141975308642,113.975,283,8.296197611936247,208,12
A_A0_i017_s941818973,941818973,DISCOVERY,11000,HORIZON,2.981888888888889,0.0,0.0,0.0,9.0,28.0,0.5574444444444444,0.8585555555555555,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21167352537722908,2.9527884087791496,9.996141975308642,117.25177777777778,244,7.437693049427157,60,12
A_A0_i018_s968793083,968793083,DISCOVERY,11000,HORIZON,3.2263333333333333,0.0,0.0,0.0,10.0,28.0,0.5627777777777778,1.0518888888888889,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22851123113854596,2.948827846364883,9.996141975308642,125.46966666666667,334,11.845989496080113,267,25
A_A0_i019_s986202838,986202838,DISCOVERY,11000,HORIZON,3.109777777777778,0.0,0.0,0.0,9.0,28.0,0.5581111111111111,0.8845555555555555,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2142013888888889,2.952097307956104,9.996141975308642,117.84088888888888,247,8.450774353571234,63,16
A_A0_i020_s983192947,983192947,DISCOVERY,11000,HORIZON,2.893,0.0,0.0,0.0,9.0,27.0,0.563,0.9806666666666667,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22013117283950617,2.952237997256516,9.996141975308642,120.70488888888889,271,6.320047668164866,105,16
A_A0_i021_s950424325,950424325,DISCOVERY,11000,HORIZON,3.1984444444444446,0.0,0.0,0.0,10.0,28.0,0.5485555555555556,1.0126666666666666,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22514334705075445,2.948607424554184,9.996141975308642,122.08711111111111,351,6.916076100855798,166,15
A_A0_i022_s951640143,951640143,DISCOVERY,11000,HORIZON,0.00044444444444444447,0.0,0.0,0.0,0.0,2.0,0.9997777777777778,2.8503333333333334,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.007491426611796982,2.9995274348422494,9.996141975308642,3.546777777777778,368,1.9997776789903923,8996,0
A_A0_i023_s975431620,975431620,VALIDATION,11000,HORIZON,1.218888888888889,0.0,0.0,0.0,5.0,28.0,0.8324444444444444,2.158,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.09283247599451303,2.9816228566529492,9.996141975308642,49.666222222222224,412,549.0747910699127,5688,16
A_A0_i024_s948649467,948649467,DISCOVERY,11000,HORIZON,3.133111111111111,0.0,0.0,0.0,10.0,28.0,0.5425555555555556,0.8697777777777778,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21652520576131687,2.951813614540466,9.996141975308642,121.42444444444445,289,6.208365679731995,53,15
A_A0_i025_s976923327,976923327,DISCOVERY,11000,HORIZON,2.9115555555555557,0.0,0.0,0.0,9.0,28.0,0.5707777777777778,1.074111111111111,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.20762800068587106,2.9530256344307273,9.996141975308642,113.98644444444444,334,7.881870755007805,183,19
A_A0_i026_s974306448,974306448,VALIDATION,11000,HORIZON,2.970666666666667,0.0,0.0,0.0,9.0,28.0,0.5585555555555556,0.9103333333333333,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21444135802469136,2.9535698731138544,9.996141975308642,120.15955555555556,334,5.480613043559274,70,18
A_A0_i027_s941238339,941238339,DISCOVERY,11000,HORIZON,3.253222222222222,0.0,0.0,0.0,10.0,28.0,0.5452222222222223,0.9878888888888889,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22706910150891632,2.950937842935528,9.996141975308642,124.30788888888888,378,6.033351995699622,68,17
A_A0_i028_s984076192,984076192,DISCOVERY,11000,HORIZON,3.2194444444444446,0.0,0.0,0.0,10.0,28.0,0.5402222222222223,0.9855555555555555,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2196946159122085,2.9513923182441704,9.996141975308642,121.43477777777778,251,7.584512590641496,126,16
A_A0_i029_s941800635,941800635,DISCOVERY,11000,HORIZON,3.2814444444444444,0.0,0.0,0.0,10.0,28.0,0.5376666666666666,0.9268888888888889,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22398371056241426,2.949864969135803,9.996141975308642,123.97933333333333,311,7.332444339117313,42,26
A_A0_i030_s981413209,981413209,DISCOVERY,11000,HORIZON,3.2704444444444443,0.0,0.0,0.0,10.0,28.0,0.5395555555555556,0.9608888888888889,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2287729766803841,2.9506499485596707,9.996141975308642,125.264,299,6.34150313656058,103,22
A_A0_i031_s953537674,953537674,DISCOVERY,11000,HORIZON,3.2622222222222224,0.0,0.0,0.0,10.0,28.0,0.5373333333333333,0.9461111111111111,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2175601851851852,2.950403806584362,9.996141975308642,121.4948888888889,233,5.803602279689867,51,14
A_A0_i032_s950327065,950327065,VALIDATION,11000,HORIZON,3.3084444444444445,0.0,0.0,0.0,10.0,28.0,0.5305555555555556,0.9484444444444444,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22711977023319616,2.951015860768176,9.996141975308642,124.22344444444444,311,6.112901399461869,33,18
A_A0_i033_s958500852,958500852,DISCOVERY,11000,HORIZON,3.0524444444444443,0.0,0.0,0.0,9.0,28.0,0.5497777777777778,0.9553333333333334,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2229275548696845,2.9499240397805213,9.996141975308642,123.88322222222222,316,8.749529575032454,57,14
A_A0_i034_s943046772,943046772,DISCOVERY,11000,HORIZON,3.056,0.0,0.0,0.0,9.0,28.0,0.5513333333333333,0.9818888888888889,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21111582647462276,2.9539393004115224,9.996141975308642,116.59955555555555,302,5.998848920432712,177,26
A_A0_i035_s966818388,966818388,DISCOVERY,11000,HORIZON,2.9704444444444444,0.0,0.0,0.0,9.0,28.0,0.5582222222222222,0.9601111111111111,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21967489711934157,2.950091049382716,9.996141975308642,120.71322222222223,324,6.274011727464508,90,17
A_A0_i036_s971380574,971380574,DISCOVERY,11000,HORIZON,3.0336666666666665,0.0,0.0,0.0,9.0,28.0,0.5543333333333333,0.9148888888888889,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.2212794924554184,2.9510432098765436,9.996141975308642,121.10577777777777,331,5.88252918781723,76,12
A_A0_i037_s940476109,940476109,DISCOVERY,11000,HORIZON,3.1452222222222224,0.0,0.0,0.0,10.0,28.0,0.5495555555555556,0.9191111111111111,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.22045164609053497,2.9523843449931415,9.996141975308642,121.31033333333333,301,5.78925632047474,37,17
A_A0_i038_s972708360,972708360,VALIDATION,11000,HORIZON,3.0722222222222224,0.0,0.0,0.0,9.0,28.0,0.5376666666666666,1.0037777777777779,"EVENT_ALIGNED_PRE_REACTION (from ycells, not from post-step scalars)",0.21535133744855967,2.9524560185185185,9.996141975308642,120.26177777777778,322,7.447913295999332,124,18
