world,seed,stop,steps,first_birth,n_births,extinct,first_P,integrity_ok,n_S_episodes,max_S_duration,R0_functional_success,t0_separation,t_maturation,N0_total_X,parent_mass,daughter_mass,survivor_upper_95,R1_material,f_new_lower,daughter_is_weaker,third_centre_cell,closest_existing_centre,closest_distance,two_still_functional_at_P,steps_after_P_available,third_matures
F_B1_i000_s957445270,957445270,EXTINCT,3376,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i001_s970004366,970004366,EXTINCT,1860,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i002_s988988689,988988689,HORIZON,11000,5313,1,False,-1,True,2,759,True,5534,5783,143,54.0,81.0,62,True,0.2345679012345679,False,,,,,,
F_B1_i003_s961814942,961814942,EXTINCT,3074,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i004_s946152229,946152229,PREMATURE_THIRD_CENTRE,10860,6736,2,False,10859,True,1,3987,True,6872,7121,135,61.0,88.0,59,True,0.32954545454545453,False,"[7, 10]",1,6.4031,True,0,False
F_B1_i005_s943967510,943967510,EXTINCT,4162,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i006_s979089558,979089558,EXTINCT,881,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i007_s968316868,968316868,PREMATURE_THIRD_CENTRE,2917,2359,2,False,2916,True,1,482,True,2434,2683,165,75.0,91.0,71,True,0.21978021978021978,False,"[0, 16]",1,5.6569,True,0,False
F_B1_i008_s945930282,945930282,EXTINCT,9990,1906,1,True,-1,True,11,594,True,2119,2368,168,80.0,86.0,72,True,0.16279069767441862,False,,,,,,
F_B1_i009_s973611054,973611054,EXTINCT,84,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i010_s962643173,962643173,HORIZON,11000,1707,2,False,-1,True,2,6693,True,1815,2064,196,63.0,97.0,83,True,0.14432989690721648,False,,,,,,
F_B1_i011_s989617139,989617139,PREMATURE_THIRD_CENTRE,9353,6470,2,False,9352,True,8,871,True,7409,7658,233,66.0,78.0,98,False,0.0,False,"[10, 24]",1,5.831,True,0,False
F_B1_i012_s952784215,952784215,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i013_s972203375,972203375,EXTINCT,7593,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i014_s966437242,966437242,PREMATURE_THIRD_CENTRE,6722,3067,2,False,6721,True,4,1988,True,3639,3888,185,73.0,63.0,79,False,0.0,True,"[29, 4]",0,5.6569,True,0,False
F_B1_i015_s943319643,943319643,EXTINCT,328,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i016_s953332908,953332908,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i017_s970194330,970194330,EXTINCT,829,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i018_s950676749,950676749,EXTINCT,8589,6216,1,True,-1,True,11,832,True,6973,7222,202,69.0,72.0,86,False,0.0,False,,,,,,
F_B1_i019_s966013278,966013278,EXTINCT,1576,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i020_s977709568,977709568,EXTINCT,5301,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i021_s978508517,978508517,PREMATURE_THIRD_CENTRE,8023,2797,3,False,8022,True,15,1736,True,3267,3516,217,70.0,7.0,92,False,0.0,True,"[22, 22]",1,5.831,True,0,False
F_B1_i022_s947486150,947486150,HORIZON,11000,1837,1,False,-1,True,8,1001,True,2087,2336,210,95.0,88.0,89,False,0.0,True,,,,,,
F_B1_i023_s974354895,974354895,EXTINCT,9774,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i024_s956793881,956793881,HORIZON,11000,1526,1,False,-1,True,15,4728,False,1760,2009,211,55.0,94.0,89,True,0.05319148936170213,False,,,,,,
F_B1_i025_s948462578,948462578,PREMATURE_THIRD_CENTRE,2428,1581,2,False,2427,True,2,657,True,1770,2019,171,78.0,95.0,73,True,0.23157894736842105,False,"[22, 17]",1,5.3852,True,0,False
F_B1_i026_s986941919,986941919,EXTINCT,1768,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i027_s960671594,960671594,EXTINCT,214,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i028_s988179390,988179390,EXTINCT,2950,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i029_s968603642,968603642,PREMATURE_THIRD_CENTRE,8701,83,2,False,8700,True,9,6623,True,406,655,176,72.0,73.0,75,False,0.0,False,"[22, 26]",0,5.831,True,0,False
F_B1_i030_s969919680,969919680,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i031_s969526996,969526996,EXTINCT,3976,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
