# freeze_manifest_hash=6676a35fb79d554d99da2b48e69b43f2d3c70f5a0f5cbacb2d258d56a83dd76c,# prediction_file_blob_at_freeze=84f336af61b929a6f24816c91f6e859412da2980,# equivalence_margin_percent=2.9,# runner_blob_at_freeze=f8044917c87e449a648368157c1ac5805cac8a5e,# model_blob_at_freeze=cf901934972af040a3e60d8d883448725af7b425,# lawspec_blob_at_freeze=b2ca9471ecc9c5a575cb8c6c8691d0ef8184b245
kind,commit,tree,author_epoch,commit_epoch,subject,after_the_freeze,seed,arm,condition,domain_size,raw_blob,completed,included_in_the_final_analysis
COMMIT,cef728ac5e450a9fc9c441a162d6e6316002c8fe,75dea8a3a65e9d17d20476fe5677ee6c1df57d29,1786796858,1786796858,"OBFOR01 §3-§4: offline provenance, and the note separating an empty window from an absent mechanism",False,,,,,,,
COMMIT,fd6a586054acb2da1fcd0ec078245a5a7d41f309,ab0f5fdec054b1f9cbfd8f4cca8b2a846273cdac,1786797936,1786797936,"OBFOR01 §5-§6, §14: the residuals are carried by the within-seed summary rule, not by the cloud",False,,,,,,,
COMMIT,a115872d3425b6727f9e396b8ed8b39d41b3623b,89fe972ff078f731b6ee59e978dd8850692c11ef,1786797936,1786797936,"OBFOR01 §7, §15: the ideal process reproduces both residuals, and the decomposition is factorial",False,,,,,,,
COMMIT,768fc229403a65d36d28a5a6037828fa7257d881,03f19d761290da6007e4dd2e7075d0703c3c1cd0,1786798196,1786798196,"OBFOR01 §8-§13: the conditional operator does not close, and every rival mechanism is bounded",False,,,,,,,
COMMIT,050e666ed40dbcc18cc26d87e2e4b17b7c096ed6,7cdcb4e6a1a3c22ab6df616dd293ac94e6dfcef4,1786798437,1786798437,"OBFOR01 §16-§17, §19-§22: raw-only verdict, gate open, and everything frozen before any arm",False,,,,,,,
COMMIT,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,ec5ff3bfc4d7ebfe2d89b16fa01541fa9ff9cde3,1786799147,1786799147,"OBFOR01 §18, §21: 28 fresh arms under the unchanged LawSpec, instrumentation proven inert",True,,,,,,,
COMMIT,cb1aaa2d6e7b9aff269328a79c59d0c9d4bed859,230a9e218368953e81fb1e572cc8994066675733,1786799147,1786799147,"OBFOR01 §23-§25: every frozen endpoint passes, the ablations lose, the operator is qualified",True,,,,,,,
COMMIT,96a8614874345ea83f35af48d3c0dcbbf6ef4db5,d9dd4bf1713255c62940ca4a0ee5df75459762a3,1786799374,1786799374,"OBFOR01 §27, §29: the mission figure, the French final report, and SHA256SUMS",True,,,,,,,
COMMIT,29ad21f14a8907a3d67b1931289fff46ccb15cb3,ac82f1ee023792033271dc58186a0abff0de8f88,1786799494,1786799494,"OBFOR01 §28: delivery record, one push attempt refused 403, split self-contained archive",True,,,,,,,
COMMIT,55e8812eee7ca48a8eb16cb439e3812a69bfc971,b415b12c6196c9d5d2aac7b0267c21fc53049297,1786799544,1786799544,OBFOR01 §28: offline readback and harness replay from the delivered archive,True,,,,,,,
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300000,S/seed9300000,S,36,3e1ece39a040319ec43da0c4175d17455b1dbf04,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300001,S/seed9300001,S,36,2f68823f6b336251c801b2b0da56b44b8b23f08b,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300002,S/seed9300002,S,36,7d5c34e0974b12f9dfdcb1b4661d13160b364ee4,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300003,S/seed9300003,S,36,c586e1e88432171eecd8b67c58d77a50bde29225,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300004,S/seed9300004,S,36,7eaa57fde0b1e5416d037715d5335dba2d016b7e,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300005,S/seed9300005,S,36,b7dd61a66fffbda8d487b548d409df17e8ec1cba,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300006,S/seed9300006,S,36,4e9d1f9462a4040b319becc65e7479bc10a47650,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300007,S/seed9300007,S,36,7e18dd57619e76ba714d443933435ee86fdeabf6,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300008,S/seed9300008,S,36,a723d8af28ec3bee0183aac60139150f636cbd2c,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300009,S/seed9300009,S,36,83e4aac554ef61e09d1162084cc8fd45eb7da237,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300010,S/seed9300010,S,36,ab7d61338a5e336556ff391f0812c9c63992a00b,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300011,S/seed9300011,S,36,b5ccba76e79d4b5e879ab696af5fec4fbabf8e46,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300012,S/seed9300012,S,36,68e835fb2199d57436e934b4b625a629bc1dd82c,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300013,S/seed9300013,S,36,bdc0348ab923905d3b73b0104a782cbf49cde1d7,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300014,M/seed9300014,M,36,6ee60eda750eb31a1a0da689ba67e43cd05e822d,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300015,M/seed9300015,M,36,8b95897df576750d6b455d0882afc80faedeb2c6,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300016,M/seed9300016,M,36,82fff37074bc5133e5c2862af90d912198c3f72d,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300017,M/seed9300017,M,36,16be332f79f1f6fd604ad37b2a44237c9be49339,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300018,M/seed9300018,M,36,9fd6efafb22ead3a7a7032f9f9ee6cc57168519c,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300019,M/seed9300019,M,36,c22181ef87cf24d2abbbcbbb1c0fa123b6c8c627,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300020,M/seed9300020,M,36,47a59f637abdabd7e53227e180affb04d9f2ec02,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300021,M/seed9300021,M,36,f2db66f907466541545e9d22ce3b09fde04fa973,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300022,M/seed9300022,M,36,a6252a71f092acde037034b5023c699479c57da4,yes,yes
FRESH_ARM,0148acc7dcdc52d10d0a0d62cd6048f7a8624462,,1786799147,1786799147,carried by the fresh-arms commit,True,9300023,M/seed9300023,M,36,2527a9e52ae6b67ea5dd8b773c36f55db65438ee,yes,yes
