table_section,metric,scope,estimate,lower_95,upper_95,threshold_or_rule,pass,interpretation,raw_inputs,generating_script
primary_result,valid_original_worlds,,21,,,>=18,true,No reserve required,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,own_dose_mean_skill,L,0.39544573811628886,0.17532271443777103,0.61556876179480668,within-world permutation p<0.05,true,,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,own_dose_permutation_null_p95,L,0.14833143706873275,,,observed score compared with 1000 within-world permutations,true,,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,own_dose_empirical_p,L,0.000999000999000999,,,<0.05,true,,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,mean_model_nmse,L,0.66464729271634504,,,,,Mean across fixed original-world held-out losses,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,held_out_skill,L,0.39544573811628886,0.17532271443777103,0.61556876179480668,lower 95% > 0 for positive information,true,,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,mean_model_nmse,N,1.1950631818422817,,,,,Mean across fixed original-world held-out losses,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,held_out_skill,N,-0.13497015100964771,-0.29111103889183632,0.021170736872540896,lower 95% > 0 for positive information,false,,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,mean_model_nmse,E,0.8718150199039898,,,,,Mean across fixed original-world held-out losses,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,held_out_skill,E,0.18827801092864413,-0.13381332806948612,0.51036934992677441,lower 95% > 0 for positive information,false,,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
primary_result,mean_model_nmse,Gm,1.1541308398044565,,,,,Mean across fixed original-world held-out losses,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
