seed,eligible,deep_reached,rest_assay_valid,deep_assay_valid,valid,reason,censored,censoring_reason,g0_rest_valid,g0_deep_valid,g0_status,event_classification,raw_tracker_status,event_step,deep_snapshot_step,M_0,M_1,M_2,rest_tracked_entity_sizes,deep_tracked_entity_sizes,event_parent_entity_sizes,raw_sha256,raw_inputs,generating_script
54001,True,False,True,False,False,tracker_event:0:SPLIT@621,True,tracker_event:0:SPLIT@621,True,False,FAIL,FISSION,SPLIT,621,,,,,115;69;71,,74;49;41,1c5b39df6f4df4ddd9ef6ce535a1c459aaabca5f0b58f1bbc81db0069e982db6,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54002,True,True,True,True,True,,False,,True,True,PASS,,,,888,0.18948884305682556,0.24964544972949682,0.2478180288690704,94;45;54,32;20;22,,d930be3d94bb09676c773a8b7b452e368a92fd2a7344f7dfd10290fb333dc42b,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54003,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,bbd72735035ba7563b8dadccfd6a19a9c7a40cbc1c3264e4205e4e3e89506566,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54004,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,e701cb9b8b61be57932b761ab67b26bc089996a544d82d0a07966146e383848b,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54005,True,False,True,False,False,tracker_event:0:SPLIT@109,True,tracker_event:0:SPLIT@109,True,False,FAIL,FISSION,SPLIT,109,,,,,154;97;84,,151;97;78,72f21a1b20a144ac1de4032566e5f3615762ea1699594e911937b85c9b38976d,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54006,True,False,True,False,False,tracker_event:1:SPLIT@541,True,tracker_event:1:SPLIT@541,True,False,FAIL,FISSION,SPLIT,541,,,,,177;72;54,,125;56;37,8d8655fbaf41a216d52dfcedcb074006e53b7e53bd28639da55268f7a4ecd0ae,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54007,True,False,True,False,False,tracker_event:1:SPLIT@49,True,tracker_event:1:SPLIT@49,True,False,FAIL,FISSION,SPLIT,49,,,,,102;70;57,,102;68;56,2bb6dea4fa28d811e8f519c475292f8e4542654bcad9fce6316bec794e02aced,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54008,True,True,True,True,True,,False,,True,True,PASS,,,,792,0.22762748887282658,0.249656912004637,0.24965410997160536,40;79;73,22;41;32,,dcbe344a5307ab7403730a96436dfc9810300546e8fa4bb486508dea0117dcdb,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54009,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,186c90ef6ab9e3bf296470ce45a0a56debe3be6336696616111b766eaee6fc52,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54010,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,37ef1af89c9c5fbda1277a43f3c299299f3a7846e19f550c8ba526a251e0451c,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
