world_id,seed,stored_delta_A_O,source_core_c_values_available,internal_face_values_available,boundary_flux_values_available,mechanism_status
W001,58001,8.55489855591438e-11,false,false,false,RAW_INSUFFICIENT
W002,58002,-9.638382742209635e-10,false,false,false,RAW_INSUFFICIENT
W003,58003,2.3486485634067545e-09,false,false,false,RAW_INSUFFICIENT
W004,58004,1.7138275429534903e-08,false,false,false,RAW_INSUFFICIENT
W008,58008,-2.7584624706357376e-09,false,false,false,RAW_INSUFFICIENT
W009,58009,-1.2739254379309176e-10,false,false,false,RAW_INSUFFICIENT
W010,58010,-9.965857988489518e-08,false,false,false,RAW_INSUFFICIENT
W011,58011,4.373996878746984e-07,false,false,false,RAW_INSUFFICIENT
W013,58013,1.0386379964096894e-10,false,false,false,RAW_INSUFFICIENT
W014,58014,1.5814982540104895e-09,false,false,false,RAW_INSUFFICIENT
W016,58016,-2.1780354260599044e-09,false,false,false,RAW_INSUFFICIENT
W017,58017,-5.254389895263564e-08,false,false,false,RAW_INSUFFICIENT
W018,58018,-1.2041828328023755e-07,false,false,false,RAW_INSUFFICIENT
W019,58019,1.063817016248858e-08,false,false,false,RAW_INSUFFICIENT
W021,58021,4.009069811820084e-07,false,false,false,RAW_INSUFFICIENT
W022,58022,-4.08745247281394e-08,false,false,false,RAW_INSUFFICIENT
W023,58023,3.82622694611041e-07,false,false,false,RAW_INSUFFICIENT
W024,58024,-2.0531252961858773e-10,false,false,false,RAW_INSUFFICIENT
W025,58025,8.080280027570512e-11,false,false,false,RAW_INSUFFICIENT
W028,58028,5.5788711634982254e-08,false,false,false,RAW_INSUFFICIENT
W029,58029,1.4469094658517488e-07,false,false,false,RAW_INSUFFICIENT
W031,58031,-1.2372601052956615e-10,false,false,false,RAW_INSUFFICIENT
W032,58032,3.0245849599289283e-10,false,false,false,RAW_INSUFFICIENT
W033,58033,-1.6247094316004167e-09,false,false,false,RAW_INSUFFICIENT
W034,58034,6.849519825565149e-10,false,false,false,RAW_INSUFFICIENT
W035,58035,3.6239348065372073e-09,false,false,false,RAW_INSUFFICIENT
W036,58036,5.48034222051173e-09,false,false,false,RAW_INSUFFICIENT
W037,58037,8.073095569077705e-09,false,false,false,RAW_INSUFFICIENT
W038,58038,-5.879533532672336e-11,false,false,false,RAW_INSUFFICIENT
W039,58039,-3.952916724755452e-09,false,false,false,RAW_INSUFFICIENT
W040,58040,6.342329467166658e-07,false,false,false,RAW_INSUFFICIENT
W041,58041,5.171800731814183e-11,false,false,false,RAW_INSUFFICIENT
W042,58042,1.2436980772231442e-09,false,false,false,RAW_INSUFFICIENT
W043,58043,4.681536444449278e-11,false,false,false,RAW_INSUFFICIENT
W048,58048,-1.1340847245674968e-09,false,false,false,RAW_INSUFFICIENT
