world_id,seed,disposition,delta_A_O,delta_num_world,direct_source_calibration,lam_minus_0_order_response
W001,58001,COMPLETE,8.5548985559143805e-11,6.3031574036449089e-12,0.00022783844223038183,-6.6848163850640894e-07
W002,58002,COMPLETE,-9.6383827422096349e-10,8.9759732701300101e-12,0.00013708157394824727,-3.4982705718022132e-08
W003,58003,COMPLETE,2.3486485634067545e-09,7.5794387951147557e-12,0.00022230448024485559,2.9147006676837506e-07
W004,58004,COMPLETE,1.7138275429534903e-08,5.5031206318780864e-12,0.00029651091303631305,7.4387484243685194e-07
W005,58005,INCOMPLETE_HISTORY_SURVIVAL,,,,
W006,58006,INCOMPLETE_HISTORY_SURVIVAL,,,,
W007,58007,INCOMPLETE_HISTORY_SURVIVAL,,,,
W008,58008,COMPLETE,-2.7584624706357376e-09,5.2398781160849109e-12,0.00015104586818380505,1.9135944017126987e-07
W009,58009,COMPLETE,-1.2739254379309176e-10,6.8201543627178792e-12,0.0002282928896593997,6.5191825249326645e-07
W010,58010,COMPLETE,-9.9658579884895175e-08,8.2064793894081332e-12,0.00013857720032037571,1.242934631380413e-08
W011,58011,COMPLETE,4.3739968787469838e-07,4.1594236713774176e-12,6.2111524671365492e-05,6.0899676197454259e-06
W012,58012,INCOMPLETE_HISTORY_SURVIVAL,,,,
W013,58013,COMPLETE,1.0386379964096894e-10,6.8479312640686141e-12,0.00022281352651060474,-2.6542517198079128e-08
W014,58014,COMPLETE,1.5814982540104895e-09,7.1663142586323054e-12,0.00022306066268654862,3.8695631155226493e-07
W015,58015,INCOMPLETE_HISTORY_SURVIVAL,,,,
W016,58016,COMPLETE,-2.1780354260599044e-09,5.3674336771285934e-12,0.00039058945649850935,4.488802763703034e-07
W017,58017,COMPLETE,-5.254389895263564e-08,5.0090512322261535e-12,0.00028136024121453492,7.1144725139454378e-07
W018,58018,COMPLETE,-1.2041828328023755e-07,5.4381993075208356e-12,0.00034485124551074733,-6.5947586000342147e-07
W019,58019,COMPLETE,1.063817016248858e-08,6.8454326842226617e-12,0.00013915995057238624,3.2514622281694361e-07
W020,58020,INCOMPLETE_DEEP_TURNOVER,,,,
W021,58021,COMPLETE,4.0090698118200839e-07,4.0226921702755662e-12,0.00024618784553641707,1.938934100837391e-06
W022,58022,COMPLETE,-4.08745247281394e-08,5.1481118425790067e-12,0.0004094706065862555,-8.2815890196198194e-07
W023,58023,COMPLETE,3.8262269461104099e-07,5.8421081582819696e-12,0.00022064115089316313,8.7330216627570095e-07
W024,58024,COMPLETE,-2.0531252961858773e-10,4.7856685656348373e-12,-2.699616888651897e-05,7.5815851827349453e-07
W025,58025,COMPLETE,8.0802800275705123e-11,6.8676345511083922e-12,0.0002507531233537216,5.4849269997205735e-08
W026,58026,INCOMPLETE_HISTORY_SURVIVAL,,,,
W027,58027,INCOMPLETE_DEEP_TURNOVER,,,,
W028,58028,COMPLETE,5.5788711634982254e-08,4.8292597942908061e-12,0.00059263323322237757,-1.7965051393954286e-06
W029,58029,COMPLETE,1.4469094658517488e-07,5.7625395427047019e-12,7.9645803778175678e-05,-3.0031836919107067e-07
W030,58030,INCOMPLETE_HISTORY_SURVIVAL,,,,
W031,58031,COMPLETE,-1.2372601052956615e-10,5.8849999265652964e-12,0.00027853676158943845,2.5218784212302438e-07
W032,58032,COMPLETE,3.0245849599289283e-10,5.8246040801150458e-12,0.00043858111480586832,-1.5758046057362833e-06
W033,58033,COMPLETE,-1.6247094316004167e-09,4.5167725505433726e-12,0.00013052547625421948,-8.2335723868785907e-07
W034,58034,COMPLETE,6.8495198255651493e-10,4.5426429593530227e-12,0.00029994936510098144,1.9075533778312094e-07
W035,58035,COMPLETE,3.6239348065372073e-09,4.4975832508820506e-12,0.0005637823389156478,-4.6634735300321811e-07
W036,58036,COMPLETE,5.48034222051173e-09,4.5304117868813724e-12,0.00019572402323089766,3.9851903744947295e-07
W037,58037,COMPLETE,8.0730955690777053e-09,6.306918803020335e-12,0.00019169336576247559,9.3760672762456364e-07
W038,58038,COMPLETE,-5.8795335326723361e-11,5.6629980374751027e-12,0.00018209257677157323,2.0086275248965327e-07
W039,58039,COMPLETE,-3.9529167247554517e-09,7.0106749772545281e-12,0.00014040410019216902,-8.6988201119077638e-08
W040,58040,COMPLETE,6.3423294671666576e-07,6.1674686867462149e-12,0.0015190160308567492,-2.0306596379815451e-06
W041,58041,COMPLETE,5.1718007318141829e-11,6.7222891370116774e-12,0.00023505674546016493,2.0871320782711535e-07
W042,58042,COMPLETE,1.2436980772231442e-09,5.7579595829422906e-12,0.00026633441728064929,-1.155133873766861e-08
W043,58043,COMPLETE,4.6815364444492778e-11,4.4300643721863067e-12,0.0002809243982942241,8.5647351691704894e-08
W044,58044,INCOMPLETE_HISTORY_SURVIVAL,,,,
W045,58045,INCOMPLETE_HISTORY_SURVIVAL,,,,
W046,58046,INCOMPLETE_HISTORY_SURVIVAL,,,,
W047,58047,INCOMPLETE_HISTORY_SURVIVAL,,,,
W048,58048,COMPLETE,-1.1340847245674968e-09,5.005800528550759e-12,0.00035450862097876484,2.4883033863687962e-07
