seed,deep_assay_valid,deep_reached,eligible,reason,rest_assay_valid,valid
54001,False,False,True,tracker_event:0:SPLIT@621,True,False
54002,True,True,True,,True,True
54003,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54004,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54005,False,False,True,tracker_event:0:SPLIT@109,True,False
54006,False,False,True,tracker_event:1:SPLIT@541,True,False
54007,False,False,True,tracker_event:1:SPLIT@49,True,False
54008,True,True,True,,True,True
54009,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54010,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54011,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54012,False,False,True,tracker_event:2:SPLIT@128,True,False
54013,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54014,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54015,True,True,True,,True,True
54016,True,True,True,,True,True
54017,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54018,False,False,True,tracker_event:1:SPLIT@137,False,False
54019,True,True,True,,True,True
54020,True,True,True,,True,True
54021,True,True,True,,True,True
54022,False,False,True,tracker_event:0:SPLIT@207,True,False
54023,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54024,True,True,True,,True,True
54025,False,False,True,tracker_event:2:LOST@402,True,False
54026,True,True,True,,True,True
54027,True,True,True,,True,True
54028,False,False,True,tracker_event:1:SPLIT@432,True,False
54029,True,True,True,,True,True
54030,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54031,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54032,True,True,True,,True,True
54033,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54034,True,True,True,,True,True
54035,True,True,True,,True,True
54036,True,True,True,,True,True
54037,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54038,True,True,True,,True,True
54039,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54040,True,True,True,,True,True
54041,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54042,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54043,True,True,True,,True,True
54044,False,False,False,fewer_than_three_geometrically_eligible_targets,False,False
54045,True,True,True,,True,True
54046,True,True,True,,True,True
54047,False,False,True,tracker_event:2:SPLIT@77,True,False
54048,False,False,True,tracker_event:0:SPLIT@69,True,False
54049,True,True,True,,True,True
54050,False,False,True,tracker_event:2:SPLIT@439,True,False
