file,programme,mobile,L,final_X,final_Y,frames,median
L36__seed8100000.npz,OBDI02,True,36,121,1,180,8.54400374531753
L36__seed8100001.npz,OBDI02,True,36,139,1,180,7.810249675906654
L36__seed8100002.npz,OBDI02,True,36,147,1,180,8.06225774829855
L36__seed8100003.npz,OBDI02,True,36,124,1,180,8.48528137423857
L36__seed8100004.npz,OBDI02,True,36,121,1,180,8.0
L36__seed8100005.npz,OBDI02,True,36,132,1,180,7.615773105863909
L36__seed8100006.npz,OBDI02,True,36,125,1,180,8.0
L36__seed8100007.npz,OBDI02,True,36,143,1,180,8.0
L36__seed8100008.npz,OBDI02,True,36,100,1,180,7.810249675906654
L36__seed8100009.npz,OBDI02,True,36,114,1,180,8.94427190999916
L36__seed8100010.npz,OBDI02,True,36,132,1,180,8.54400374531753
L36__seed8100011.npz,OBDI02,True,36,108,1,180,7.615773105863909
L36__seed8100012.npz,OBDI02,True,36,112,1,180,8.54400374531753
L36__seed8100013.npz,OBDI02,True,36,89,1,180,8.06225774829855
L36__seed8100014.npz,OBDI02,True,36,0,1,39,10.44030650891055
L36__seed8100015.npz,OBDI02,True,36,125,1,180,8.0
L36__seed8100016.npz,OBDI02,True,36,131,1,180,8.06225774829855
L36__seed8100017.npz,OBDI02,True,36,103,1,180,7.810249675906654
L36__seed8100018.npz,OBDI02,True,36,123,1,180,8.0
L36__seed8100019.npz,OBDI02,True,36,115,1,180,8.246211251235321
L36__seed8100020.npz,OBDI02,True,36,0,1,167,8.06225774829855
L36__seed8100021.npz,OBDI02,True,36,104,1,180,7.810249675906654
L36__seed8100022.npz,OBDI02,True,36,102,1,180,8.0
L36__seed8100023.npz,OBDI02,True,36,102,1,180,8.246211251235321
L36__seed8100024.npz,OBDI02,True,36,121,1,180,8.54400374531753
L36__seed8100025.npz,OBDI02,True,36,125,1,180,8.06225774829855
L36__seed8100026.npz,OBDI02,True,36,108,1,180,8.06225774829855
L36__seed8100027.npz,OBDI02,True,36,112,1,180,8.06225774829855
L36__seed8100028.npz,OBDI02,True,36,0,1,0,
L36__seed8100029.npz,OBDI02,True,36,124,1,180,7.810249675906654
L36__seed8100030.npz,OBDI02,True,36,0,1,0,
