NAME,VALUE,UNITS,EVIDENCE_LEVEL,SOURCE_FILE,SOURCE_SHA256,JSON_PATH,DECIMALS
Lattice,36,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/L,3
Capacity,16,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/CAP,3
ReservoirTarget,3,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/S0,3
Feed,0.2,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/phi,3
Outflow,0.05,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/omega,3
Mortality,0.004,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/muX,3
Reaction,1.0,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/kX,3
Hop,0.10263340389897246,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/p_hop,9
SeedX,4,model units,FROZEN_METHOD,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,FREEZE_MANIFEST/frozen_point/X_SEED,3
Margin,2.9,percent,FROZEN_POINT_RULE,OBFOR01/out/_freeze.json,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,RESIDUAL_TOLERANCE/EQUIVALENCE_MARGIN_percent,1
