id,symbol,value,source_path,source_commit,source_sha256,locator,verification_mode,status,note
D01,probe amplitude per step (STIM_AMP),0.25,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.probe.amp_per_step (= $.frozen_constants.STIM_AMP),json-key lookup,VERIFIED,
D02,probe duration (STIM_DUR),5 steps,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.probe.n_steps (= $.frozen_constants.STIM_DUR),json-key lookup,VERIFIED,
D03,cumulative injection,1.25 x N0,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.probe.cumulative_injection_x_N0,json-key lookup,VERIFIED,
D04,behavioural horizon (HORIZON),40 steps,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.frozen_constants.HORIZON,json-key lookup,VERIFIED,
D05,targets per world (K),3,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.frozen_constants.K,json-key lookup,VERIFIED,
D06,fusion cap (COVER_CAP),0.15 of grid,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.frozen_constants.COVER_CAP,json-key lookup,VERIFIED,
D07,N-standardisation settle (SETTLE_STD),40 steps,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.frozen_constants.SETTLE_STD,json-key lookup,VERIFIED,
D08,warm-up (WARM),800 steps,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.frozen_constants.WARM,json-key lookup,VERIFIED,
D09,min target size / min pair separation,MINSIZE 45 / SEP 24.0,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,"$.frozen_constants.MINSIZE, $.frozen_constants.SEP",json-key lookup,VERIFIED,
D10,memory->uptake coupling constant (lambda_plus),0.25,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.frozen_constants.LAM_PLUS,json-key lookup,VERIFIED,
D11,memory->attractant coupling (lambda_minus),0.15,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.frozen_constants.LAM_MINUS,json-key lookup,VERIFIED,
D12,feasibility floor MIN_VALID_WORLDS,12,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.feasibility_thresholds.MIN_VALID_WORLDS,json-key lookup,VERIFIED,
D13,feasibility floor MIN_NONFUSING_FRACTION,0.85,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.feasibility_thresholds.MIN_NONFUSING_FRACTION,json-key lookup,VERIFIED,
D14,storage gate DD_MIN,10.0,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.gate_thresholds.DD_MIN,json-key lookup,VERIFIED,
D15,storage gate OFF_MAX,0.05,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.gate_thresholds.OFF_MAX,json-key lookup,VERIFIED,
D16,ablation manipulation-check bound ABL_RATIO_MAX,0.15,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.gate_thresholds.ABL_RATIO_MAX,json-key lookup,VERIFIED,
D17,sealed seed family,"53001-53032 (32 seeds, cap 32)",docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,"$.seeds.FAMILY_SEALED, $.seeds.cap",json-key lookup,VERIFIED,
D18,bootstrap / null seed,20260715,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.determinism_seed,json-key lookup,VERIFIED,
D19,sealed platform,Python 3.11.15 / NumPy 2.2.6 / SciPy 1.15.3 / Matplotlib 3.10.9,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.environment.python|numpy|scipy|matplotlib,json-key lookup,VERIFIED,
D20,coupling statement (shorthand),uptake proportional to N*rho*(1 + lambda_plus*m_plus),docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.behavioural.coupling_note,json-key lookup,VERIFIED,Prompt-supplied formula matches the sealed artefact verbatim in shorthand form.
