law_index,seed,first_eligible_end,candidate_size,branch,initial_centroid_displacement,sham_equals_control,perturb_max_abs_move,momentum_conserved,types_conserved,n_post_snapshots,best_P_max,best_P_final,carrier_organized_at_home_snapshots,carrier_longest_consec_at_home,carrier_late_home_frac,carrier_reestablished_at_home,carrier_P_final,carrier_M_final,origin_regen_any,origin_regen_first_rel_step,origin_regen_count,lineage_events_json,births_after_start,ambiguous,split,merge
0,5004,420,38,CONTROL,0.0,True,0.30000000000000004,True,True,36,0.9473775584705907,0.9176642049110143,5,5,0.0,False,0.9176642049110143,0.8636363636363636,False,,0,"{""birth"": 3, ""continuity"": 77, ""disappearance"": 1}",0,0,0,0
0,5004,420,38,SHAM,0.0,True,0.30000000000000004,True,True,36,0.9473775584705907,0.9176642049110143,5,5,0.0,False,0.9176642049110143,0.8636363636363636,False,,0,"{""birth"": 3, ""continuity"": 77, ""disappearance"": 1}",0,0,0,0
0,5004,420,38,PERTURBED,0.42426406871192857,True,0.30000000000000004,True,True,36,0.9164719421744747,0.8873261109210915,3,3,0.0,False,0.8873261109210915,0.8085106382978723,True,350,2,"{""birth"": 2, ""continuity"": 72}",0,0,0,0
0,5004,420,38,PLACEBO,0.42426406871192857,True,0.30000000000000004,True,True,36,0.9538178904489273,0.944783297830695,6,4,0.0,False,0.944783297830695,0.8181818181818182,False,,0,"{""birth"": 3, ""continuity"": 76, ""disappearance"": 1, ""split"": 1}",1,0,1,0
0,5012,180,7,CONTROL,0.0,True,0.30000000000000004,True,True,36,0.8920191633745013,0.7699491236368377,5,2,0.05555555555555555,False,0.7424969357377489,0.19230769230769232,False,,0,"{""birth"": 8, ""continuity"": 174, ""disappearance"": 4, ""merge"": 2}",1,0,0,2
0,5012,180,7,SHAM,0.0,True,0.30000000000000004,True,True,36,0.8920191633745013,0.7699491236368377,5,2,0.05555555555555555,False,0.7424969357377489,0.19230769230769232,False,,0,"{""birth"": 8, ""continuity"": 174, ""disappearance"": 4, ""merge"": 2}",1,0,0,2
0,5012,180,7,PERTURBED,0.4242640687119284,True,0.30000000000000004,True,True,36,0.8820163502296813,0.73590644250881,5,3,0.0,False,0.7107580895377054,0.25,False,,0,"{""birth"": 7, ""continuity"": 123, ""disappearance"": 4, ""merge"": 2}",1,0,0,2
0,5012,180,7,PLACEBO,0.4242640687119284,True,0.30000000000000004,True,True,36,0.8693465138899135,0.8081058444509622,18,18,0.05555555555555555,False,0.8081058444509622,0.4418604651162791,False,,0,"{""birth"": 8, ""continuity"": 126, ""disappearance"": 6, ""merge"": 6, ""split"": 1}",2,0,1,6
52,5006,240,22,CONTROL,0.0,True,0.30000000000000004,True,True,36,0.9547336268106379,0.8347554136483305,36,36,1.0,True,0.8347554136483305,1.0,False,,0,"{""birth"": 6, ""continuity"": 189, ""disappearance"": 1, ""merge"": 1}",0,0,0,1
52,5006,240,22,SHAM,0.0,True,0.30000000000000004,True,True,36,0.9547336268106379,0.8347554136483305,36,36,1.0,True,0.8347554136483305,1.0,False,,0,"{""birth"": 6, ""continuity"": 189, ""disappearance"": 1, ""merge"": 1}",0,0,0,1
52,5006,240,22,PERTURBED,0.4242640687119285,True,0.30000000000000004,True,True,36,0.953501395265205,0.8480482734805055,36,36,1.0,True,0.8480482734805055,1.0,False,,0,"{""birth"": 6, ""continuity"": 188, ""disappearance"": 1}",2,0,0,0
52,5006,240,22,PLACEBO,0.4242640687119285,True,0.30000000000000004,True,True,36,0.8699509323429931,0.6576309786322357,2,2,0.0,False,0.6576309786322357,0.875,False,,0,"{""birth"": 6, ""continuity"": 189, ""disappearance"": 1, ""merge"": 1, ""split"": 1}",1,0,1,1
52,5010,180,6,CONTROL,0.0,True,0.30000000000000004,True,True,36,0.9610365244669175,0.9119472769116864,36,36,1.0,True,0.8764939768274337,1.0,False,,0,"{""birth"": 8, ""continuity"": 250, ""disappearance"": 1, ""merge"": 1, ""split"": 1}",1,0,1,1
52,5010,180,6,SHAM,0.0,True,0.30000000000000004,True,True,36,0.9610365244669175,0.9119472769116864,36,36,1.0,True,0.8764939768274337,1.0,False,,0,"{""birth"": 8, ""continuity"": 250, ""disappearance"": 1, ""merge"": 1, ""split"": 1}",1,0,1,1
52,5010,180,6,PERTURBED,0.42426406871192845,True,0.30000000000000004,True,True,36,0.9595672283991169,0.9191831733171162,35,34,1.0,True,0.8687548734748773,1.0,False,,0,"{""birth"": 8, ""continuity"": 250, ""disappearance"": 1, ""merge"": 1, ""split"": 1}",1,0,1,1
52,5010,180,6,PLACEBO,0.42426406871192845,True,0.30000000000000004,True,True,36,0.9154529676051466,0.7810926813126765,4,4,0.0,False,0.7810926813126765,0.6521739130434783,False,,0,"{""birth"": 7, ""continuity"": 182, ""disappearance"": 2, ""merge"": 1}",1,0,0,1
