law_index,seed,snapshot_cadence,kind,snapshot_step,time,parent_track_ids_json,child_track_ids_json,detail
0,101,10,birth,0,0.0,[],[0],
0,101,10,birth,0,0.0,[],[1],
0,101,10,birth,0,0.0,[],[2],
0,101,10,birth,0,0.0,[],[3],
0,101,10,birth,0,0.0,[],[4],
0,101,10,birth,0,0.0,[],[5],
0,101,10,birth,0,0.0,[],[6],
0,101,10,continuity,10,0.2,[5],[5],physical score=0.980772; IDs were not used
0,101,10,continuity,10,0.2,[0],[0],physical score=0.975632; IDs were not used
0,101,10,continuity,10,0.2,[2],[2],physical score=0.793008; IDs were not used
0,101,10,continuity,10,0.2,[3],[3],physical score=0.617715; IDs were not used
0,101,10,continuity,10,0.2,[6],[6],physical score=0.408954; IDs were not used
0,101,10,continuity,10,0.2,[1],[1],physical score=0.266533; IDs were not used
0,101,10,continuity,10,0.2,[4],[4],physical score=0.196698; IDs were not used
0,101,10,birth,10,0.2,[],[7],
0,101,10,birth,10,0.2,[],[8],
0,101,10,birth,10,0.2,[],[9],
0,101,10,split,10,0.2,[1],"[1, 9]",multiple physically compatible child entities
0,101,10,continuity,20,0.4,[3],[3],physical score=0.807661; IDs were not used
0,101,10,continuity,20,0.4,[6],[6],physical score=0.65277; IDs were not used
0,101,10,continuity,20,0.4,[7],[7],physical score=0.647189; IDs were not used
0,101,10,continuity,20,0.4,[4],[4],physical score=0.469565; IDs were not used
0,101,10,continuity,20,0.4,[2],[2],physical score=0.305725; IDs were not used
0,101,10,continuity,20,0.4,[5],[5],physical score=0.190991; IDs were not used
0,101,10,birth,20,0.4,[],[10],
0,101,10,merge,20,0.4,"[0, 2]",[2],multiple physically compatible parent entities
0,101,10,merge,20,0.4,"[5, 9]",[5],multiple physically compatible parent entities
0,101,10,disappearance,20,0.4,[0],[],compatible alternative not selected
0,101,10,disappearance,20,0.4,[1],[],no selected physical continuation
0,101,10,disappearance,20,0.4,[8],[],no selected physical continuation
0,101,10,disappearance,20,0.4,[9],[],compatible alternative not selected
0,101,10,continuity,30,0.6,[6],[6],physical score=0.940153; IDs were not used
0,101,10,continuity,30,0.6,[7],[7],physical score=0.897814; IDs were not used
0,101,10,continuity,30,0.6,[4],[4],physical score=0.842657; IDs were not used
0,101,10,continuity,30,0.6,[3],[3],physical score=0.802461; IDs were not used
0,101,10,continuity,30,0.6,[5],[5],physical score=0.725661; IDs were not used
0,101,10,continuity,30,0.6,[10],[10],physical score=0.632787; IDs were not used
0,101,10,continuity,30,0.6,[2],[2],physical score=0.506907; IDs were not used
0,101,10,birth,30,0.6,[],[11],
0,101,10,split,30,0.6,[2],"[2, 11]",multiple physically compatible child entities
