law_index,seed,n_meas,mean_P,mean_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,mean_entity_mass,mean_entities_per_snapshot
0,8001,121,0.9925716368889096,0.9842267920964843,0,False,5,17,4,7.875475399947704e-05,484.45046998003966,1.8064516129032258
0,8002,83,0.9882749934889968,0.9909429062641647,0,False,2,31,1,0.0001518896544664993,1018.0500668981722,1.032258064516129
0,8003,145,0.9791506625225286,0.9752972898104839,0,False,2,31,2,6.72511060203754e-05,441.6488246467982,1.7741935483870968
1,8001,83,0.9950834896437887,0.9952465234020859,0,False,1,31,1,0.00015677637023126732,894.3635238776712,1.0
1,8002,83,0.992801299479661,0.9970844681187885,0,False,1,31,1,0.0001591266391122556,1064.7037898076119,1.0
1,8003,112,0.9780284442604712,0.9835694251957101,0,False,2,31,2,7.404108897443519e-05,554.7609586845779,1.4193548387096775
2,8001,83,0.9933170287339271,0.9937871361578883,0,False,1,31,1,0.000126781760513097,888.8588066414636,1.0
2,8002,83,0.9914866504895636,0.9962827816088075,0,False,1,31,1,0.0001337200998679544,1060.9390922364155,1.0
2,8003,124,0.9783894289885808,0.9839897926143287,0,False,2,31,2,5.196074733223809e-05,506.0218108232844,1.5483870967741935
3,8001,83,0.9954746913174675,0.9964835800163567,0,False,1,31,1,0.00028309159271484315,898.0784961705629,1.0
3,8002,83,0.9923195076120465,0.9975401091329751,0,False,1,31,1,0.00026030218206555254,1066.6635950187574,1.0
3,8003,103,0.9759910258175638,0.9827500780382654,0,False,2,31,2,0.00013267221401284533,598.1163456168881,1.3225806451612903
4,8001,84,0.9923433056425786,0.9910718925966648,0,False,7,24,1,0.0001421613880268208,602.1118052038197,1.4516129032258065
4,8002,87,0.9889482900981884,0.9887160241392821,0,False,2,31,1,0.0002950577487538171,931.202667694343,1.1290322580645162
4,8003,139,0.9786791502232298,0.9814584286866415,0,False,2,31,2,3.2069240115764736e-05,454.0497216276272,1.7096774193548387
5,8001,83,0.993484985120167,0.9952767788483119,0,False,1,31,1,0.00015769203257146855,891.9895712190483,1.0
5,8002,83,0.9904268017248775,0.996336552600169,0,False,1,31,1,0.00015016524518343512,1061.8560167244434,1.0
5,8003,124,0.9782844929705036,0.9838625708681857,0,False,2,31,2,7.378348206386771e-05,508.8182130727649,1.5483870967741935
6,8001,80,0.9922947516261897,0.9936931181147528,0,False,3,26,1,0.0001332520081297217,762.3606307011886,1.1612903225806452
6,8002,83,0.9894199946359858,0.995494015451286,0,False,1,31,1,0.00018711889998821493,1057.441557755964,1.0
6,8003,130,0.9785158974204187,0.9827905012546364,0,False,2,31,2,6.094509322875179e-05,486.27291961495524,1.6129032258064515
7,8001,83,0.9938972017395681,0.9961737585516403,0,False,1,31,1,0.00023496983827433308,897.2961801341534,1.0
7,8002,83,0.9900619109717369,0.9967627376998643,0,False,1,31,1,0.0002257116656772914,1065.0500514502644,1.0
7,8003,121,0.9775384043983713,0.9838301270293139,0,False,2,31,2,9.620320880887602e-05,522.321548569272,1.5161290322580645
8,8001,109,0.9923623055532181,0.9878162365236255,0,False,5,19,4,9.89918508443099e-05,519.4387580191858,1.6774193548387097
8,8002,83,0.988563804023985,0.9922103622601198,0,False,2,31,1,0.00019511139579384435,1015.8591056846899,1.032258064516129
8,8003,142,0.9789041068975238,0.977240902903385,0,False,2,31,2,4.01962781612941e-05,447.13445848623525,1.7419354838709677
9,8001,80,0.9928443498630996,0.994666793027139,0,False,3,26,1,0.00016215312497285504,766.1995568339458,1.1612903225806452
9,8002,83,0.988789221399643,0.9956603626125031,0,False,1,31,1,0.00015047004335051763,1059.8199847549047,1.0
9,8003,133,0.9787264982469689,0.9819233593367798,0,False,2,31,2,6.880356266565287e-05,479.43890565265446,1.6451612903225807
10,8001,117,0.9926412709968311,0.9880323104170107,0,False,5,17,4,7.26185230272009e-05,495.44457807826086,1.7741935483870968
10,8002,83,0.9886885968390128,0.9929302034805981,0,False,2,31,1,0.00017348874316065575,1020.9059641300928,1.032258064516129
10,8003,145,0.9796244990440275,0.9777289339384365,0,False,2,31,2,0.0001630419811031885,442.9988072206304,1.7741935483870968
11,8001,83,0.993398308822277,0.9953479114789765,0,False,1,31,1,0.00021954037471723226,896.4739341907667,1.0
11,8002,83,0.9884308388120411,0.9960678764524965,0,False,1,31,1,0.00021746820808458557,1063.75631762473,1.0
11,8003,130,0.9783413660932037,0.9818803010162881,0,False,2,31,2,8.370076925186616e-05,491.9150679646394,1.6129032258064515
12,8001,83,0.9947356782827769,0.9947125642325845,0,False,1,31,1,0.00015234516176208365,893.0775044402876,1.0
12,8002,83,0.9924900950790332,0.9968533816932652,0,False,1,31,1,0.00014550156973136953,1063.7972928248123,1.0
12,8003,112,0.9774613706045494,0.9833982906836789,0,False,2,31,2,7.269341420296432e-05,553.6678174972104,1.4193548387096775
13,8001,83,0.9944051976021194,0.995898342419134,0,False,1,31,1,0.00019592494664953916,895.763122604841,1.0
13,8002,83,0.9924373063827042,0.997259199548548,0,False,1,31,1,0.00019032622106098768,1065.2713220551689,1.0
13,8003,112,0.9776873493697726,0.9836066307037816,0,False,2,31,2,9.29210681988108e-05,556.0979138428992,1.4193548387096775
14,8001,83,0.9933776438853145,0.9944855188391439,0,False,1,31,1,0.00013683270958609342,889.6792889565018,1.0
14,8002,83,0.9911574976887181,0.9963019365692036,0,False,1,31,1,0.0001432078308975428,1061.0417623478172,1.0
14,8003,124,0.9783381366336182,0.9842206588607166,0,False,2,31,2,6.118869951169135e-05,507.06259124830063,1.5483870967741935
15,8001,83,0.9956580152272557,0.9968697285278552,0,False,1,31,1,0.0003278922545939295,899.8603719066431,1.0
