law_index,seed,n_meas,mean_P,mean_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,mean_entity_mass,mean_entities_per_snapshot
0,8001,174,0.9938892819836761,0.978291195087981,0,False,5,22,4,0.00011643246372905475,383.14533795901684,2.3548387096774195
0,8002,83,0.9879958637425441,0.9855588315945452,0,False,2,31,1,0.0003398925333101613,1035.464360894547,1.032258064516129
0,8003,154,0.9829098626513514,0.9702646352414591,0,False,2,31,2,0.00012262951463371362,431.8244281001828,1.8709677419354838
1,8001,89,0.9919236946879172,0.9927810098599478,0,False,5,21,2,0.00019837274479678646,606.5741344269605,1.4516129032258065
1,8002,85,0.9887575392000402,0.993796063581838,0,False,2,31,1,0.0003150702031198399,960.9636403925801,1.096774193548387
1,8003,136,0.9786309611843099,0.9819682551043435,0,False,2,31,2,0.00011768422682791322,466.63027973183057,1.6774193548387097
2,8001,83,0.9879047314459319,0.9896449578174099,0,False,1,31,1,0.0002652857189720876,971.7648476440467,1.0
2,8002,83,0.9807162101860165,0.9929130504207877,0,False,1,31,1,2.3966471689025635e-05,1124.8314273691751,1.0
2,8003,83,0.9794590853778801,0.9893163781636638,0,False,1,31,1,0.00013070019713649767,855.8092922047703,1.0
3,8001,83,0.9882637237114342,0.9899282284415177,0,False,1,31,1,0.00041711933969824726,966.2959267888587,1.0
3,8002,83,0.9804742962637486,0.9928085894142201,0,False,1,31,1,4.6555630945511384e-05,1123.0681091928172,1.0
3,8003,83,0.979921178968455,0.9894010565712635,0,False,1,31,1,0.00029005009590588315,852.2441848517881,1.0
4,8001,83,0.9882105970069559,0.988598191534499,0,False,1,31,1,0.00012954965297441213,967.2565912311009,1.0
4,8002,83,0.9819072358651836,0.992333107913933,0,False,1,31,1,7.643438070099907e-05,1123.4847241054438,1.0
4,8003,83,0.9815314030876512,0.9881954956863476,0,False,1,31,1,0.00014765608689814178,855.5511121094202,1.0
5,8001,83,0.9891359874478812,0.9889292249867112,0,False,1,31,1,0.0004078806847529423,961.5122179734749,1.0
5,8002,83,0.9835564571367071,0.9923223134057498,0,False,1,31,1,0.00010580364014900823,1122.572461157007,1.0
5,8003,83,0.9841645303602057,0.9883726526658171,0,False,1,31,1,0.0002245892867553121,852.378453182701,1.0
6,8001,83,0.9888851300865077,0.9906772711131026,0,False,1,31,1,0.00034608934418506765,974.8929345529382,1.0
6,8002,83,0.9801992619115613,0.9932284347175016,0,False,1,31,1,0.00022278758624180893,1129.012673367907,1.0
6,8003,83,0.9810691140205681,0.9903625387516585,0,False,1,31,1,0.0003463652679121468,857.8139437965332,1.0
7,8001,83,0.9914696376657562,0.9928191612902348,0,False,1,31,1,0.0002393648364370942,944.3184817157976,1.0
7,8002,83,0.9888715104145844,0.9947154090794581,0,False,1,31,1,9.997971567854202e-05,1104.4805035617521,1.0
7,8003,83,0.9884294686363869,0.9923470144434349,0,False,1,31,1,0.00013238499944994166,831.4414740709576,1.0
8,8001,83,0.991408687665897,0.9915701895447409,0,False,1,31,1,0.00012587110284764224,939.8566049751661,1.0
8,8002,83,0.990324680126365,0.9941604772971661,0,False,1,31,1,3.6546099456714984e-05,1102.5411055970426,1.0
8,8003,83,0.9887629969536258,0.9907107332905111,0,False,1,31,1,4.3920938199120186e-05,832.0463355853128,1.0
9,8001,83,0.9921125220604239,0.9918311439630161,0,False,1,31,1,0.00038077748094014026,942.5075256096059,1.0
