law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_production,mean_activity,mean_entities
0,CLOSED,10001,75,0.9952595242146198,0.9929928424393648,0.4744631829524286,0,False,6,28,1,0.004533720573819629,0.0035928736877444355,1.096774193548387
0,CLOSED,10002,75,0.9932915579923254,0.9911702638657065,0.33776978992804774,0,False,6,28,1,0.003776279785520598,0.00293612723509559,1.096774193548387
0,CLOSED,10003,75,0.9944757411025301,0.9924856966780126,0.4364272508975178,0,False,7,28,1,0.006630525495706027,0.005574112961017966,1.1290322580645162
0,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.010611095113607884,0.12903225806451613
0,OPEN,10002,0,,,1.0,0,False,3,1,0,0.035575739943841715,0.011071212902145007,0.0967741935483871
0,OPEN,10003,0,,,1.0,0,False,4,1,0,0.03635410551084376,0.010641207073193687,0.12903225806451613
1,CLOSED,10001,75,0.9953063115425355,0.993067599273456,0.48006994550925175,0,False,6,28,1,0.004492485488785998,0.003447270741436771,1.096774193548387
1,CLOSED,10002,75,0.9933944649093,0.9912729121859767,0.34546841394830735,0,False,6,28,1,0.003749913747488914,0.002806024899635587,1.096774193548387
1,CLOSED,10003,75,0.9942597516160976,0.992476098973439,0.43570742300809223,0,False,7,28,1,0.007493070078874765,0.006259244397954627,1.1290322580645162
1,OPEN,10001,19,0.8581494656387141,0.40207845504645245,5.7305577981556686e-08,4,True,27,9,1,0.028696235560301327,0.0030943969769593586,1.1935483870967742
1,OPEN,10002,29,0.8546572047176706,0.3910762465424433,7.954778952161272e-08,8,True,23,11,1,0.028954059375010482,0.003008661589612538,1.2258064516129032
1,OPEN,10003,26,0.777248552061732,0.3727840930082694,5.331052322992437e-07,4,True,23,12,1,0.028094119819969805,0.003034045724455153,1.096774193548387
2,CLOSED,10001,74,0.9995021831157865,0.9999999999999992,0.9999999999999971,0,False,7,28,1,0.0044722016866562886,0.0033511380761008227,1.096774193548387
2,CLOSED,10002,75,0.9956825442783322,0.9938406513612472,0.5380488520936023,0,False,5,28,1,0.0035752855712909153,0.0025587267633821148,1.064516129032258
