track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,eligible_seed_count_for_law,eligible_law
4,0,180,0.0,3.6,3.6,0.8341639026241623,0.4,4,10,False,False,True,0,2001,30,21,False,2,2,True
4,0,180,0.0,3.6,3.6,0.8341639026241623,0.4,4,10,False,False,True,0,2001,60,11,False,2,2,True
3,60,240,1.2,4.8,3.5999999999999996,0.8203662229577121,0.46153846153846156,6,13,False,False,True,0,2002,30,21,False,2,2,True
5,60,240,1.2,4.8,3.5999999999999996,0.9285312830656991,0.3333333333333333,4,4,False,False,True,0,2002,30,10,False,2,2,True
3,60,240,1.2,4.8,3.5999999999999996,0.8203662229577121,0.46153846153846156,6,13,False,False,True,0,2002,60,11,False,2,2,True
8,60,120,1.2,2.4,1.2,0.8080185860439233,0.4444444444444444,6,7,False,False,True,8,2003,10,58,False,2,1,False
0,60,120,1.2,2.4,1.2,0.8080185860439233,0.4444444444444444,6,7,False,False,True,8,2003,60,11,False,2,1,False
8,60,240,1.2,4.8,3.5999999999999996,0.8812976461882033,0.38461538461538464,6,12,False,False,True,12,2001,30,19,False,2,2,True
1,60,240,1.2,4.8,3.5999999999999996,0.8812976461882033,0.38461538461538464,6,12,False,False,True,12,2001,60,11,False,2,2,True
0,60,240,1.2,4.8,3.5999999999999996,0.8370819625342042,0.375,6,5,False,False,True,12,2003,30,21,False,2,2,True
0,60,240,1.2,4.8,3.5999999999999996,0.8370819625342042,0.375,6,5,False,False,True,12,2003,60,11,False,2,2,True
0,120,300,2.4,6.0,3.6,0.8785580826055678,0.3333333333333333,8,8,False,False,True,12,2003,30,21,False,2,2,True
0,120,300,2.4,6.0,3.6,0.8785580826055678,0.3333333333333333,8,8,False,False,True,12,2003,60,11,False,2,2,True
0,180,360,3.6,7.2,3.6,0.8748027902095995,0.4444444444444444,6,7,False,False,True,12,2003,30,21,False,2,2,True
0,180,360,3.6,7.2,3.6,0.8748027902095995,0.4444444444444444,6,7,False,False,True,12,2003,60,11,False,2,2,True
3,0,180,0.0,3.6,3.6,0.8208749438437704,0.05,7,14,False,False,True,15,2001,30,21,False,2,1,False
5,0,180,0.0,3.6,3.6,0.8323045424905253,0.2857142857142857,4,5,False,False,True,15,2001,60,11,False,2,1,False
6,120,300,2.4,6.0,3.6,0.8723476961321737,0.46153846153846156,6,13,False,False,True,15,2001,30,21,False,2,1,False
6,120,300,2.4,6.0,3.6,0.8723476961321737,0.46153846153846156,6,13,False,False,True,15,2001,60,11,False,2,1,False
3,0,60,0.0,1.2,1.2,0.8016870411603091,0.4444444444444444,4,9,False,False,True,19,2001,10,61,False,2,1,False
3,0,60,0.0,1.2,1.2,0.8016870411603091,0.4444444444444444,4,9,False,False,True,19,2001,60,11,False,2,1,False
