law_index,seed,snapshot_cadence,tracks,mean_track_observations,median_track_observations,mean_lifetime_steps,median_lifetime_steps,complex_tracks,birth_events,disappearance_events,continuity_events,split_events,merge_events,ambiguity_events
0,2001,10,9,35.888888888888886,41.0,348.8888888888889,400.0,2,9,5,314,0,1,0
0,2001,30,7,16.0,21.0,450.0,600.0,0,7,3,105,0,0,0
0,2001,60,8,7.375,9.0,382.5,480.0,0,8,4,51,0,0,0
0,2002,10,13,26.384615384615383,26.0,253.84615384615384,250.0,5,13,9,330,1,3,0
0,2002,30,10,11.6,10.5,318.0,285.0,4,10,6,106,1,2,0
0,2002,60,11,5.363636363636363,5.0,261.8181818181818,240.0,0,11,7,48,0,0,0
0,2003,10,13,22.615384615384617,3.0,216.15384615384616,20.0,5,13,9,281,0,3,0
0,2003,30,10,10.0,8.5,270.0,225.0,3,10,6,90,0,2,0
0,2003,60,9,5.777777777777778,5.0,286.6666666666667,240.0,0,9,5,43,0,0,0
1,2001,10,23,9.173913043478262,4.0,81.73913043478261,30.0,6,23,21,188,2,3,0
1,2001,30,17,4.294117647058823,1.0,98.82352941176471,0.0,4,17,15,56,0,2,0
1,2001,60,13,2.8461538461538463,1.0,110.76923076923077,0.0,2,13,11,24,0,1,0
1,2002,10,17,11.352941176470589,3.0,103.52941176470588,20.0,9,17,15,176,4,5,0
1,2002,30,10,6.5,3.0,165.0,60.0,3,10,8,55,0,2,0
1,2002,60,13,2.6153846153846154,1.0,96.92307692307692,0.0,0,13,11,21,0,0,0
1,2003,10,15,13.733333333333333,2.0,127.33333333333333,10.0,9,15,12,191,2,4,0
1,2003,30,11,6.545454545454546,2.0,166.36363636363637,30.0,4,11,8,61,1,1,0
1,2003,60,11,3.272727272727273,1.0,136.36363636363637,0.0,0,11,8,25,0,0,0
2,2001,10,98,3.2142857142857144,2.0,22.142857142857142,10.0,27,98,92,217,12,5,3
2,2001,30,60,1.9,1.0,27.0,0.0,6,60,54,54,1,2,1
2,2001,60,39,1.4871794871794872,1.0,29.23076923076923,0.0,2,39,33,19,1,0,0
2,2002,10,84,3.107142857142857,2.0,21.071428571428573,10.0,16,84,83,177,4,4,0
2,2002,30,53,1.679245283018868,1.0,20.37735849056604,0.0,2,53,52,36,1,0,0
2,2002,60,31,1.2903225806451613,1.0,17.419354838709676,0.0,0,31,30,9,0,0,0
2,2003,10,96,3.3229166666666665,2.0,23.229166666666668,10.0,25,96,92,223,9,6,0
2,2003,30,62,1.8709677419354838,1.0,26.129032258064516,0.0,9,62,58,54,3,2,0
2,2003,60,35,1.7142857142857142,1.0,42.857142857142854,0.0,4,35,31,25,1,0,1
3,2001,10,18,17.38888888888889,2.0,163.88888888888889,10.0,5,18,13,295,1,1,1
3,2001,30,9,11.88888888888889,19.0,326.6666666666667,540.0,0,9,4,98,0,0,0
3,2001,60,7,8.0,11.0,420.0,600.0,0,7,2,49,0,0,0
3,2002,10,21,17.142857142857142,3.0,161.42857142857142,20.0,6,21,16,339,2,1,0
3,2002,30,12,10.416666666666666,9.5,282.5,255.0,4,12,7,113,0,1,3
3,2002,60,14,4.642857142857143,2.0,218.57142857142858,60.0,0,14,9,51,0,0,0
3,2003,10,9,24.444444444444443,15.0,234.44444444444446,140.0,4,9,6,211,0,2,0
3,2003,30,8,9.375,7.0,251.25,180.0,4,8,5,67,1,2,0
3,2003,60,7,5.571428571428571,4.0,274.2857142857143,180.0,2,7,4,32,0,1,0
4,2001,10,9,23.11111111111111,3.0,221.11111111111111,20.0,3,9,6,199,1,1,0
4,2001,30,7,10.142857142857142,7.0,274.2857142857143,180.0,2,7,4,64,0,1,0
4,2001,60,6,6.166666666666667,7.0,310.0,360.0,2,6,3,31,0,1,0
4,2002,10,9,23.555555555555557,2.0,225.55555555555554,10.0,0,9,6,203,0,0,0
4,2002,30,6,12.0,14.5,330.0,405.0,0,6,3,66,0,0,0
4,2002,60,6,6.166666666666667,7.5,310.0,390.0,0,6,3,31,0,0,0
4,2003,10,13,16.384615384615383,4.0,153.84615384615384,30.0,0,13,10,200,0,0,0
