p_bin,p_lower,p_upper,m_bin,m_lower,m_upper,rows,fraction
0,0.0,0.02,0,0.0,0.02,1,1.541449579184265e-06
0,0.0,0.02,1,0.02,0.04,0,0.0
0,0.0,0.02,2,0.04,0.06,0,0.0
0,0.0,0.02,3,0.06,0.08,0,0.0
0,0.0,0.02,4,0.08,0.1,0,0.0
0,0.0,0.02,5,0.1,0.12,0,0.0
0,0.0,0.02,6,0.12,0.14,0,0.0
0,0.0,0.02,7,0.14,0.16,0,0.0
0,0.0,0.02,8,0.16,0.18,0,0.0
0,0.0,0.02,9,0.18,0.2,0,0.0
0,0.0,0.02,10,0.2,0.22,0,0.0
0,0.0,0.02,11,0.22,0.24,0,0.0
0,0.0,0.02,12,0.24,0.26,0,0.0
0,0.0,0.02,13,0.26,0.28,0,0.0
0,0.0,0.02,14,0.28,0.3,0,0.0
0,0.0,0.02,15,0.3,0.32,0,0.0
0,0.0,0.02,16,0.32,0.34,0,0.0
0,0.0,0.02,17,0.34,0.36,0,0.0
0,0.0,0.02,18,0.36,0.38,0,0.0
0,0.0,0.02,19,0.38,0.4,0,0.0
0,0.0,0.02,20,0.4,0.42,0,0.0
0,0.0,0.02,21,0.42,0.44,0,0.0
0,0.0,0.02,22,0.44,0.46,0,0.0
0,0.0,0.02,23,0.46,0.48,0,0.0
0,0.0,0.02,24,0.48,0.5,0,0.0
0,0.0,0.02,25,0.5,0.52,0,0.0
0,0.0,0.02,26,0.52,0.54,0,0.0
0,0.0,0.02,27,0.54,0.56,0,0.0
0,0.0,0.02,28,0.56,0.58,0,0.0
0,0.0,0.02,29,0.58,0.6,0,0.0
0,0.0,0.02,30,0.6,0.62,0,0.0
0,0.0,0.02,31,0.62,0.64,0,0.0
0,0.0,0.02,32,0.64,0.66,0,0.0
0,0.0,0.02,33,0.66,0.68,0,0.0
0,0.0,0.02,34,0.68,0.7,0,0.0
0,0.0,0.02,35,0.7,0.72,0,0.0
0,0.0,0.02,36,0.72,0.74,0,0.0
0,0.0,0.02,37,0.74,0.76,0,0.0
0,0.0,0.02,38,0.76,0.78,0,0.0
0,0.0,0.02,39,0.78,0.8,0,0.0
0,0.0,0.02,40,0.8,0.82,0,0.0
0,0.0,0.02,41,0.82,0.84,0,0.0
0,0.0,0.02,42,0.84,0.86,0,0.0
0,0.0,0.02,43,0.86,0.88,0,0.0
0,0.0,0.02,44,0.88,0.9,0,0.0
0,0.0,0.02,45,0.9,0.92,0,0.0
0,0.0,0.02,46,0.92,0.94,0,0.0
0,0.0,0.02,47,0.94,0.96,0,0.0
0,0.0,0.02,48,0.96,0.98,0,0.0
0,0.0,0.02,49,0.98,1.0,0,0.0
1,0.02,0.04,0,0.0,0.02,3,4.624348737552795e-06
1,0.02,0.04,1,0.02,0.04,0,0.0
1,0.02,0.04,2,0.04,0.06,0,0.0
1,0.02,0.04,3,0.06,0.08,0,0.0
1,0.02,0.04,4,0.08,0.1,0,0.0
1,0.02,0.04,5,0.1,0.12,0,0.0
1,0.02,0.04,6,0.12,0.14,0,0.0
1,0.02,0.04,7,0.14,0.16,0,0.0
1,0.02,0.04,8,0.16,0.18,0,0.0
1,0.02,0.04,9,0.18,0.2,0,0.0
1,0.02,0.04,10,0.2,0.22,0,0.0
1,0.02,0.04,11,0.22,0.24,0,0.0
1,0.02,0.04,12,0.24,0.26,1,1.541449579184265e-06
1,0.02,0.04,13,0.26,0.28,5,7.707247895921324e-06
1,0.02,0.04,14,0.28,0.3,2,3.08289915836853e-06
1,0.02,0.04,15,0.3,0.32,0,0.0
1,0.02,0.04,16,0.32,0.34,0,0.0
1,0.02,0.04,17,0.34,0.36,0,0.0
1,0.02,0.04,18,0.36,0.38,0,0.0
1,0.02,0.04,19,0.38,0.4,1,1.541449579184265e-06
1,0.02,0.04,20,0.4,0.42,0,0.0
1,0.02,0.04,21,0.42,0.44,0,0.0
1,0.02,0.04,22,0.44,0.46,0,0.0
1,0.02,0.04,23,0.46,0.48,0,0.0
1,0.02,0.04,24,0.48,0.5,0,0.0
1,0.02,0.04,25,0.5,0.52,0,0.0
1,0.02,0.04,26,0.52,0.54,0,0.0
1,0.02,0.04,27,0.54,0.56,0,0.0
1,0.02,0.04,28,0.56,0.58,0,0.0
1,0.02,0.04,29,0.58,0.6,0,0.0
1,0.02,0.04,30,0.6,0.62,0,0.0
1,0.02,0.04,31,0.62,0.64,0,0.0
1,0.02,0.04,32,0.64,0.66,0,0.0
1,0.02,0.04,33,0.66,0.68,0,0.0
1,0.02,0.04,34,0.68,0.7,0,0.0
1,0.02,0.04,35,0.7,0.72,0,0.0
1,0.02,0.04,36,0.72,0.74,0,0.0
