law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
0,OFF,7001,686,600.3977445715018,645.0084583878435,532.3156080240942,616.6892926380633,569.0222898283266,0.8752153710954836,0.9402455661630371,0.05975443383696322,0,0,False,25,9,11.4,59,19,25,0,1,0
0,OFF,7002,1091,965.9798088653343,1015.0617620941142,865.4418578187042,968.3861698896895,907.7807833100173,0.8854077074842661,0.9303957489405263,0.06960425105947292,8,0,False,26,15,16.76923076923077,61,17,26,0,8,0
0,OFF,7003,1022,916.0578892970199,947.7320707980778,831.6535339133051,905.3752055224057,861.732827894979,0.8963384435391584,0.9273307933444987,0.0726692066555006,5,0,False,24,14,16.791666666666668,61,15,24,0,8,0
0,ON,7001,311,235.08104095911682,248.6024470590993,184.18798601225114,218.8200360487087,197.26048215858754,0.7558875915084142,0.7993647815405122,0.20063521845948767,1,0,False,107,5,2.682242990654206,20,98,107,0,1,0
0,ON,7002,262,188.51987950464726,200.83865877604106,140.69654471205584,173.94636965679442,151.9576767563667,0.7195415248268979,0.7665597663207674,0.23344023367923283,0,0,False,121,8,2.3057851239669422,12,115,121,5,5,1
0,ON,7003,240,182.14049588987555,199.31759271535208,142.92138191854642,176.5660268574649,156.6455282795657,0.7589187328744814,0.8304899696473004,0.16951003035269957,0,0,False,100,4,2.4,24,94,100,1,0,0
1,OFF,7001,799,668.7634695230486,702.5521976093924,566.6833693106963,640.4022276652091,595.9878353159362,0.8370005876383586,0.8792893587101281,0.1207106412898731,3,0,False,30,11,11.3,61,24,30,4,3,0
1,OFF,7002,609,486.78127211244714,463.98038093182726,395.7790145686281,388.681095075534,380.01484988462295,0.7993124336821792,0.7618725466860874,0.23812745331391236,27,0,False,75,10,4.533333333333333,61,69,75,3,6,1
1,OFF,7003,806,692.8022650348117,693.9634789566866,601.3309182098502,625.7525815101071,605.2472949075855,0.8595561600928185,0.860996872154698,0.13900312784530128,12,1,True,42,10,8.547619047619047,59,33,42,2,1,0
1,ON,7001,317,241.08483581208367,236.19942347323007,188.95130653124681,196.260354783011,188.22184669955885,0.7605199867889074,0.7451085913982021,0.25489140860179815,3,0,False,108,6,2.6666666666666665,21,96,108,4,3,0
1,ON,7002,309,236.5428739092,236.88440245884098,186.5007810622464,201.92430399077924,189.62519786470898,0.7655109188,0.7666161891871877,0.23338381081281223,1,0,False,104,8,2.6153846153846154,19,95,104,1,1,0
1,ON,7003,259,206.32165633375337,210.67201843809002,169.2286197044824,188.37970590221437,174.7656966185993,0.7966087117133335,0.8134054765949421,0.18659452340505778,1,0,False,109,7,2.3211009174311927,26,91,109,1,1,1
2,OFF,7001,488,365.765951175271,280.1936027436971,280.7491632661559,194.68279621462415,219.9810598197072,0.7495203917526045,0.5741672187370842,0.42583278126291585,23,0,False,187,10,2.609625668449198,14,169,187,11,6,2
2,OFF,7002,402,290.23971763087604,199.10676020202754,215.49697406287297,124.95573831636109,152.06993981253441,0.7219893473404877,0.4952904482637501,0.5047095517362501,19,0,False,220,7,2.227272727272727,11,202,220,8,9,0
2,OFF,7003,430,327.22719894470697,260.1034252881066,254.5076243555377,181.91017884186715,205.33445473962038,0.7609934859179232,0.604891686716527,0.3951083132834735,25,0,False,153,8,2.627450980392157,22,144,153,7,4,0
2,ON,7001,244,185.48645259610132,187.54316489907592,145.6326395613623,159.72083250324687,149.45957158547165,0.7601903794922185,0.7686195282749013,0.23138047172509887,2,0,False,122,4,2.319672131147541,14,113,122,1,3,0
2,ON,7002,180,125.35168822314418,127.75044368659371,90.63902015644639,101.84037705231582,93.1965720104617,0.6963982679063565,0.7097246871477428,0.29027531285225705,1,0,False,131,2,1.9618320610687023,15,122,131,0,4,0
2,ON,7003,225,173.08250228089875,174.48311234809543,136.74520678121448,147.19287141706937,139.6832021765341,0.7692555656928833,0.7754804993248686,0.22451950067513154,0,0,False,92,3,2.402173913043478,22,83,92,3,2,0
3,OFF,7001,922,802.4733341873632,840.2117945168982,708.7036181273711,802.37085437259,744.4582721968736,0.8703615338257735,0.9112926187818853,0.08870738121811515,1,0,False,38,11,10.263157894736842,61,29,38,0,5,4
3,OFF,7002,1076,953.0576451814746,988.7105683564731,856.4500809923376,939.9641041763408,889.8980401576233,0.8857413059307385,0.9188759928963505,0.08112400710364852,5,0,False,30,14,14.333333333333334,61,18,30,1,6,0
3,OFF,7003,823,736.2572127091981,767.8404520321292,666.7644116084731,734.4406327325121,694.6667694064882,0.8946017165360852,0.9329774629795008,0.06702253702049871,7,0,False,30,13,11.7,61,21,30,0,4,0
3,ON,7001,517,433.90203871082326,444.78105242763155,374.6642948467362,409.6204766493851,387.3075338099915,0.8392689336766408,0.8603115133996742,0.13968848660032698,2,0,False,73,10,4.301369863013699,30,64,73,8,8,1
3,ON,7002,420,312.2011971955282,330.51214128243487,239.79633031156203,285.95095114431,256.728451800774,0.7433361837988767,0.786933669720083,0.21306633027991617,0,0,False,100,10,3.3,18,91,100,7,8,2
3,ON,7003,520,418.79614877700976,450.85425593335964,348.89172568474874,415.48585004153534,376.4785577547722,0.8053772091865572,0.8670274152564609,0.1329725847435397,1,0,False,73,11,4.260273972602739,29,64,73,6,4,0
4,OFF,7001,759,709.3268445070249,723.5636401438253,669.6643113775765,708.4493720748671,683.1464070259932,0.9345544723412713,0.9533117788456196,0.04668822115437958,4,0,False,27,9,11.407407407407407,61,18,27,1,4,0
4,OFF,7002,1004,936.5117531069909,959.4864570225101,883.1278968101656,935.4970348811302,904.4754608618487,0.9327806305846523,0.9556638018152491,0.04433619818475134,1,0,False,22,13,17.727272727272727,61,10,22,1,3,0
4,OFF,7003,768,712.0713998716919,733.2274945539498,667.9944254328847,716.5159691610492,685.6149890849556,0.9271763019162655,0.9547233002004555,0.045276699799544705,8,0,False,27,10,11.62962962962963,61,18,27,2,6,0
4,ON,7001,566,432.33156588957235,430.34831146262695,338.94043992858286,371.99034406330657,342.3574519839041,0.7638366888508346,0.7603327057643585,0.23966729423564112,4,0,False,139,13,3.1870503597122304,22,121,139,7,10,17
4,ON,7002,452,321.0208821881782,307.6242012213347,237.0379325715311,247.9801210249663,232.2169502934608,0.7102231906818102,0.6805845159764042,0.3194154840235952,4,0,False,141,10,2.6666666666666665,27,135,141,14,11,10
4,ON,7003,572,435.582071694031,432.88138411377963,340.08245843926335,375.2706511497599,342.27295345518195,0.7615071183462081,0.7567856365625518,0.24321436343744834,8,0,False,134,14,3.201492537313433,23,119,134,10,12,16
5,OFF,7001,1689,1608.5987641311474,1638.4343073593075,1541.6233606359472,1612.205515970621,1570.5981290388906,0.9523971368449659,0.9700617568734798,0.029938243126520218,2,1,True,33,21,19.727272727272727,61,12,33,2,3,0
