law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,mean_abs_circulation,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
0,OFF,7001,686,600.3977445715018,645.0084583878435,532.3156080240942,616.6892926380633,569.0222898283266,0.8752153710954836,0.9402455661630371,0.05975443383696322,0.027725041071587436,0,0,False,25,9,11.4,59,19,25,0,1,0
0,OFF,7002,1091,965.9798088653343,1015.0617620941142,865.4418578187042,968.3861698896895,907.7807833100173,0.8854077074842661,0.9303957489405263,0.06960425105947292,0.022548812240823373,8,0,False,26,15,16.76923076923077,61,17,26,0,8,0
0,OFF,7003,1022,916.0578892970199,947.7320707980778,831.6535339133051,905.3752055224057,861.732827894979,0.8963384435391584,0.9273307933444987,0.0726692066555006,0.03647214305092449,5,0,False,24,14,16.791666666666668,61,15,24,0,8,0
0,ON,7001,162,85.44208283933317,71.46379406557438,47.84917054777522,40.16600210125196,40.049069142790195,0.5274202644403282,0.4411345312689776,0.5588654687310227,1.371068139199605,1,0,False,192,0,1.6979166666666667,7,183,192,3,6,2
0,ON,7002,160,88.59411931761332,77.55139730512437,51.72979344678877,47.10179765883184,45.79564188898692,0.5537132457350833,0.4846962331570273,0.5153037668429725,1.3105750886071952,1,0,False,222,0,1.6126126126126126,7,213,222,1,1,0
0,ON,7003,168,92.27777908420948,78.39515610942061,54.68011429793442,47.25769577574768,46.669719919167825,0.549272494548866,0.4666378339846465,0.5333621660153534,1.3363547720678983,1,0,False,169,0,1.834319526627219,7,160,169,3,1,0
1,OFF,7001,799,668.7634695230486,702.5521976093924,566.6833693106963,640.4022276652091,595.9878353159362,0.8370005876383586,0.8792893587101281,0.1207106412898731,0.0652817592502055,3,0,False,30,11,11.3,61,24,30,4,3,0
1,OFF,7002,609,486.78127211244714,463.98038093182726,395.7790145686281,388.681095075534,380.01484988462295,0.7993124336821792,0.7618725466860874,0.23812745331391236,0.0951006794155339,27,0,False,75,10,4.533333333333333,61,69,75,3,6,1
1,OFF,7003,806,692.8022650348117,693.9634789566866,601.3309182098502,625.7525815101071,605.2472949075855,0.8595561600928185,0.860996872154698,0.13900312784530128,0.059805390427163097,12,1,True,42,10,8.547619047619047,59,33,42,2,1,0
1,ON,7001,103,56.76157833155516,49.12348481841525,32.99637810877835,28.736042821234655,28.443591213883337,0.5510832847723801,0.47692703707199274,0.5230729629280072,1.31494374241406,0,0,False,175,0,1.5314285714285714,6,172,175,1,0,1
1,ON,7002,169,90.32367131508387,76.88136856718644,51.43506635886285,45.079641389537784,44.24611136781732,0.534459593580378,0.4549193406342393,0.545080659365761,1.3850872730340587,0,0,False,185,3,1.6702702702702703,13,176,185,3,3,1
1,ON,7003,191,99.9224736804646,82.18496128598655,56.28567086685812,46.45993540422759,46.28663942659504,0.5231543124631655,0.4302877554240133,0.5697122445759869,1.5191303255704223,1,0,False,202,1,1.7425742574257426,10,187,202,0,2,0
2,OFF,7001,488,365.765951175271,280.1936027436971,280.7491632661559,194.68279621462415,219.9810598197072,0.7495203917526045,0.5741672187370842,0.42583278126291585,0.16767235855069146,23,0,False,187,10,2.609625668449198,14,169,187,11,6,2
2,OFF,7002,402,290.23971763087604,199.10676020202754,215.49697406287297,124.95573831636109,152.06993981253441,0.7219893473404877,0.4952904482637501,0.5047095517362501,0.2136272822566277,19,0,False,220,7,2.227272727272727,11,202,220,8,9,0
2,OFF,7003,430,327.22719894470697,260.1034252881066,254.5076243555377,181.91017884186715,205.33445473962038,0.7609934859179232,0.604891686716527,0.3951083132834735,0.1494103171959687,25,0,False,153,8,2.627450980392157,22,144,153,7,4,0
2,ON,7001,132,70.4085290153395,60.327565928848344,40.273633994200296,34.85397878463831,34.62534935556842,0.5333979470859053,0.45702701461248746,0.5429729853875125,1.3469770121865554,1,0,False,193,0,1.5751295336787565,6,184,193,1,5,0
2,ON,7002,155,83.73760692371528,64.71115042367987,48.244855549505125,34.45068053605803,36.74128860083134,0.5402426253142921,0.41749129305599914,0.582508706944001,1.425236418089412,0,0,False,214,0,1.6121495327102804,7,202,214,5,3,1
2,ON,7003,149,82.01742179493552,62.138220788698,48.23010457600252,33.38759101771544,36.207259785390846,0.5504524952680236,0.41703503885032217,0.5829649611496779,1.448133556813472,1,0,False,194,0,1.6597938144329898,6,185,194,3,1,0
3,OFF,7001,922,802.4733341873632,840.2117945168982,708.7036181273711,802.37085437259,744.4582721968736,0.8703615338257735,0.9112926187818853,0.08870738121811515,0.04568661575973619,1,0,False,38,11,10.263157894736842,61,29,38,0,5,4
3,OFF,7002,1076,953.0576451814746,988.7105683564731,856.4500809923376,939.9641041763408,889.8980401576233,0.8857413059307385,0.9188759928963505,0.08112400710364852,0.05246002372277008,5,0,False,30,14,14.333333333333334,61,18,30,1,6,0
3,OFF,7003,823,736.2572127091981,767.8404520321292,666.7644116084731,734.4406327325121,694.6667694064882,0.8946017165360852,0.9329774629795008,0.06702253702049871,0.03548551156457292,7,0,False,30,13,11.7,61,21,30,0,4,0
3,ON,7001,139,67.74436174438046,55.709510000600986,36.06859099636425,29.003067322543757,29.493866310467123,0.48736950895237735,0.40078784173094234,0.5992121582690576,1.4797863360051173,0,0,False,198,0,1.6111111111111112,5,186,198,2,2,0
3,ON,7002,157,75.99931760152373,65.32213349398987,39.683614844061076,36.91878886671825,34.7748458792806,0.4840720866339091,0.41606454454770614,0.583935455452294,1.4583250387791937,0,0,False,207,1,1.6231884057971016,8,195,207,7,3,1
3,ON,7003,125,66.60897013128009,60.981836787801775,38.459292354952666,37.985909193955266,35.101640943950365,0.5328717610502407,0.4878546943024142,0.5121453056975859,1.4972500677000513,0,0,False,185,1,1.5297297297297296,13,173,185,1,1,0
4,OFF,7001,759,709.3268445070249,723.5636401438253,669.6643113775765,708.4493720748671,683.1464070259932,0.9345544723412713,0.9533117788456196,0.04668822115437958,0.02587464340056952,4,0,False,27,9,11.407407407407407,61,18,27,1,4,0
4,OFF,7002,1004,936.5117531069909,959.4864570225101,883.1278968101656,935.4970348811302,904.4754608618487,0.9327806305846523,0.9556638018152491,0.04433619818475134,0.025303335202029573,1,0,False,22,13,17.727272727272727,61,10,22,1,3,0
4,OFF,7003,768,712.0713998716919,733.2274945539498,667.9944254328847,716.5159691610492,685.6149890849556,0.9271763019162655,0.9547233002004555,0.045276699799544705,0.024875473726745662,8,0,False,27,10,11.62962962962963,61,18,27,2,6,0
4,ON,7001,167,88.10588411204533,69.68335137389197,49.50385586610865,37.019010153026386,38.89871546758,0.527580144383505,0.41726557708917345,0.5827344229108267,1.4674002341203598,0,0,False,180,1,1.7666666666666666,8,171,180,2,4,1
4,ON,7002,152,79.3107829754101,63.304765164018505,44.293500814529466,32.91036224703848,35.29152238173365,0.5217814669434876,0.4164787181843323,0.5835212818156675,1.4794838453859185,0,0,False,173,0,1.7109826589595376,7,164,173,2,4,0
4,ON,7003,129,64.33247494288133,54.22340375221702,35.31276845813861,30.580680047338596,29.96108992774378,0.4987013561463669,0.42033646319548074,0.5796635368045192,1.3758378627634789,0,0,False,188,0,1.5797872340425532,6,176,188,1,0,1
5,OFF,7001,1689,1608.5987641311474,1638.4343073593075,1541.6233606359472,1612.205515970621,1570.5981290388906,0.9523971368449659,0.9700617568734798,0.029938243126520218,0.004440965025767482,2,1,True,33,21,19.727272727272727,61,12,33,2,3,0
