L,PASS_at_0.01,PASS_at_0.05,PASS_at_0.2,arm,bounded_components_end,bounded_survival_to_1024,component_count_by_frame,component_count_end,error,first_empty_frame,first_wrapping_frame,labelled_fraction,largest_over_L2_by_frame,min_bounded_residual_at_1024,seed,technical_failure
24,False,False,False,BASELINE_SWEEP00,0,False,6|1|1|1|1|1|1|1,1,,,0,0.7564839857571877,0.4392|0.8611|0.9201|1.0000|1.0000|1.0000|1.0000|1.0000,nan,910000,False
24,False,False,False,BASELINE_SWEEP00,0,False,11|2|1|1|1|1|1|1,1,,,16,0.7066798929020733,0.3073|0.7309|0.8524|0.9340|1.0000|1.0000|1.0000|1.0000,nan,910001,False
24,False,False,False,BASELINE_SWEEP00,0,False,11|1|1|1|1|1|1|1,1,,,16,0.7137787462362132,0.1441|0.6736|0.7170|0.7951|0.9271|1.0000|1.0000|1.0000,nan,910002,False
24,False,False,False,BASELINE_SWEEP00,0,False,8|1|1|1|1|1|1|1,1,,,16,0.7365229058346507,0.3351|0.7726|0.8733|0.9531|1.0000|1.0000|1.0000|1.0000,nan,910003,False
24,False,False,False,BASELINE_SWEEP00,0,False,14|1|1|1|1|1|1|1,1,,,16,0.7439875096696826,0.2257|0.7691|0.8524|0.9566|1.0000|1.0000|1.0000|1.0000,nan,910004,False
24,False,False,False,BASELINE_SWEEP00,0,False,16|1|1|1|1|1|1|1,1,,,16,0.7526418912233339,0.3368|0.7882|0.8490|0.9253|0.9983|1.0000|1.0000|1.0000,nan,910005,False
24,False,False,False,BASELINE_SWEEP00,0,False,9|1|1|1|1|1|1|1,1,,,16,0.7913914912582578,0.4045|0.7378|0.7917|0.8646|0.9497|1.0000|1.0000|1.0000,nan,910006,False
24,False,False,False,BASELINE_SWEEP00,0,False,16|1|1|1|1|1|1|1,1,,,16,0.7617053716370266,0.1372|0.7483|0.8177|0.9236|0.9878|1.0000|1.0000|1.0000,nan,910007,False
24,False,False,False,BASELINE_SWEEP00,0,False,9|1|1|1|1|1|1|1,1,,,0,0.749843115832871,0.3264|0.8038|0.9080|0.9653|1.0000|1.0000|1.0000|1.0000,nan,910008,False
24,False,False,False,BASELINE_SWEEP00,0,False,11|1|1|1|1|1|1|1,1,,,16,0.731244621948441,0.1562|0.6753|0.7726|0.8646|0.9618|1.0000|1.0000|1.0000,nan,910009,False
