L,seed,arm,realized_source_injection,n_accept_remote_halo,n_accept_shell_preload,n_reject_inside_track,n_reject_occupied,n_reject_track_adjacency_legacy,n_reject_quota,shell_preload_decision_fraction,remote_halo_mass_exactly_zero,remote_halo_mass_value,mass_split_recoverable,reason
24,980000,SHAM,0.0,0,0,0,0,0,0,,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980000,D1_LEGACY_Q005,0.0,0,0,0,0,0,0,,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980000,D1_REDESIGNED_Q005,4.326601291728689,0,541,751,0,0,628,1.0,True,0.0,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980000,D2_REDESIGNED_Q005,8.477426731998836,57,630,103,18,0,1272,0.9170305676855895,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980000,D2_REDESIGNED_Q020,14.371351551013587,25,1226,451,27,0,351,0.9800159872102319,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980000,D2_REDESIGNED_Q050,16.07960848345439,26,681,1190,14,0,169,0.9632248939179632,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980000,D2_REDESIGNED_Q100,17.90505844285715,25,307,1612,14,0,122,0.9246987951807228,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980000,DIRECT_INTERFACE_Q100,46.19963309462356,0,0,0,0,0,0,,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980001,SHAM,0.0,0,0,0,0,0,0,,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980001,D1_LEGACY_Q005,0.0,0,0,0,0,0,0,,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980001,D1_REDESIGNED_Q005,5.449221010188212,0,671,874,0,0,375,1.0,True,0.0,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980001,D2_REDESIGNED_Q005,8.190136021843555,64,509,201,13,0,1293,0.8883071553228621,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980001,D2_REDESIGNED_Q020,16.295719437120166,30,1062,612,24,0,352,0.9725274725274725,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980001,D2_REDESIGNED_Q050,17.67091705540842,23,925,898,10,0,224,0.9757383966244726,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980001,D2_REDESIGNED_Q100,19.118030794190275,24,602,1346,8,0,100,0.9616613418530351,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980001,DIRECT_INTERFACE_Q100,46.1773304586877,0,0,0,0,0,0,,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980002,SHAM,0.0,0,0,0,0,0,0,,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980002,D1_LEGACY_Q005,0.3091773266315613,3,0,5,0,33,34,0.0,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980002,D1_REDESIGNED_Q005,5.7996901628119994,0,683,870,0,0,447,1.0,True,0.0,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980002,D2_REDESIGNED_Q005,8.244728710174975,73,547,126,10,0,1404,0.882258064516129,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980002,D2_REDESIGNED_Q020,17.21210196761045,31,1220,488,26,0,395,0.9752198241406874,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980002,D2_REDESIGNED_Q050,18.47565265274204,23,1049,902,13,0,173,0.9785447761194029,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
24,980002,D2_REDESIGNED_Q100,19.665854016354203,24,657,1358,25,0,96,0.9647577092511013,False,,False,per-tag MASS was never persisted; only decision COUNTS. The split is exact only when one tag has zero decisions.
