L,metric,n,min,median,max
24,mass_ratio_postforce,9,0.9364697052799669,0.9500535114252106,0.9718452692195939
24,mass_ratio_2048,9,0.9833230311467602,0.9967366082983411,1.0184431602342348
24,incumbent_absolute_residual_2048,9,0.5888379688500045,0.6059727270338,0.6214445366453928
24,fresh_current_fraction_2048,9,0.24895969543513755,0.2602041953172842,0.2761342136770528
24,fresh_retention_postforce,9,0.2553685561937897,0.26353594874398395,0.2852784354050107
24,fresh_retention_2048,9,0.25120276418803905,0.25867219129275926,0.28018305587347275
24,coast_retention_ratio,9,0.979032308686642,0.9810050123039288,0.9869374500963186
24,direct_operator_insertion,9,46.1773304586877,47.61345777030388,51.33293962410313
24,unique_capture_transport,9,10.374789421905177,10.5055683378094,11.358052370047735
24,capture_by_merger,9,0.0,0.0,0.0
24,algebraic_ledger_error,9,4.551914400963142e-15,5.218048215738236e-15,6.328271240363392e-15
24,total_system_balance_error,9,0.0,0.0,2.842170943040401e-14
24,same_track_continuous,9,9,,9/9
24,never_merged,9,9,,9/9
24,dynamic_capture_counter_is_zero_REQUIRED,9,0,,0/9  <-- FAILS
32,mass_ratio_postforce,9,0.9463383828578822,0.9630792035849195,0.978053218229641
32,mass_ratio_2048,9,0.9854051378582107,0.9873936713296271,0.9993204028619732
32,incumbent_absolute_residual_2048,9,0.656851200636122,0.6735677605929267,0.6820311782519424
32,fresh_current_fraction_2048,9,0.21148145193017098,0.2210503718936844,0.23218069307222644
32,fresh_retention_postforce,9,0.21114709712551052,0.22187486982067411,0.23452475863190383
32,fresh_retention_2048,9,0.20868856933764285,0.21807442457665535,0.22988847429701806
32,coast_retention_ratio,9,0.9802311518752584,0.986354225854432,0.9921673660174196
32,direct_operator_insertion,9,66.25409090391788,70.30368898394507,73.38413031010222
32,unique_capture_transport,9,13.175928463982991,13.917703872986644,14.81705068706691
32,capture_by_merger,9,0.0,0.0,0.0
32,algebraic_ledger_error,9,4.9960036108132044e-15,5.662137425588298e-15,5.88418203051333e-15
32,total_system_balance_error,9,0.0,5.684341886080802e-14,1.7053025658242404e-13
32,same_track_continuous,9,9,,9/9
32,never_merged,9,9,,9/9
32,dynamic_capture_counter_is_zero_REQUIRED,9,0,,0/9  <-- FAILS
