L,seed,arm,M256,incumbent_256_over_M256_at_t256,ambient_256_inside_C256_at_t256,fresh_source_inside_C256_at_t256,numeric_t256_assertion_written_to_raw,field_identity_residual_max,system_balance_residual,incumbent_absolute_residual_2048,is_historical_t0_tracer,label_check,verdict
24,980000,SHAM,169.54853463997685,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,3.219646771412954e-15,0.0,0.8669733142228172,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980000,D1_LEGACY_Q005,169.54853463997685,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,3.219646771412954e-15,0.0,0.8669733142228172,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980000,D1_REDESIGNED_Q005,169.54853463997685,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,2.886579864025407e-15,0.0,0.861719458157798,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980000,D2_REDESIGNED_Q005,169.54853463997685,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,3.3306690738754696e-15,1.1368683772161603e-13,0.8342408749039666,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980000,D2_REDESIGNED_Q020,169.54853463997685,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,2.6645352591003757e-15,0.0,0.8071809253795125,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980000,D2_REDESIGNED_Q050,169.54853463997685,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,2.886579864025407e-15,5.684341886080802e-14,0.8039606989130931,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980000,D2_REDESIGNED_Q100,169.54853463997685,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,2.6645352591003757e-15,5.684341886080802e-14,0.7908936456617309,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980000,DIRECT_INTERFACE_Q100,169.54853463997685,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,5.773159728050814e-15,0.0,0.6214445366453928,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980001,SHAM,163.802720436871,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,3.1086244689504383e-15,0.0,0.8650885778641925,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
24,980001,D1_LEGACY_Q005,163.802720436871,1.0 BY CONSTRUCTION (Provenance.__init__: inc[i]=m[i] for i in cells256),0.0 BY CONSTRUCTION (amb[i]=0.0 for i in cells256),0.0 BY CONSTRUCTION (np.zeros_like),False,3.1086244689504383e-15,0.0,0.8650885778641925,False,"0.865/0.902 (SHAM) IS incumbent_256/M256: DSC_04 carries ONE incumbent field and it is built at t256 from cells256, not at t0",PASS_BY_CODE_PATH_AND_IDENTITY_RESIDUAL
