size,arm,INTENTION_TO_TREAT_RISK_SET,TERMINAL_INTACT_RISK_SET,TRACK_FAILURES,loss,merger,split,terminal_track_alive,first_failure_types,analysis_label
24,SHAM,9,9,0,0,0,0,9,NONE,PRIMARY
24,DIRECT_Q100_ANCHOR,9,9,0,0,0,0,9,NONE,PRIMARY
24,DIRECT_Q200_UNIFORM,9,9,0,0,0,0,9,NONE,PRIMARY
24,DIRECT_Q400_UNIFORM,9,9,0,0,0,0,9,NONE,PRIMARY
24,DIRECT_Q800_UNIFORM,9,2,7,7,0,0,2,NONE|TRACK_LOST_OR_DISSOLVED,SURVIVOR_CONDITIONAL_N_2
24,DIRECT_Q400_BURST,9,9,0,0,0,0,9,NONE,SECONDARY
24,SINK_ONLY_Q800,9,9,0,0,0,0,9,NONE,SECONDARY
24,SOURCE_ONLY_Q800,9,0,9,9,0,0,0,TRACK_LOST_OR_DISSOLVED,SURVIVOR_CONDITIONAL_N_0
32,SHAM,9,9,0,0,0,0,9,NONE,PRIMARY
32,DIRECT_Q100_ANCHOR,9,9,0,0,0,0,9,NONE,PRIMARY
32,DIRECT_Q200_UNIFORM,9,9,0,0,0,0,9,NONE,PRIMARY
32,DIRECT_Q400_UNIFORM,9,9,0,0,0,0,9,NONE,PRIMARY
32,DIRECT_Q800_UNIFORM,9,9,0,0,0,0,9,NONE,PRIMARY
32,DIRECT_Q400_BURST,9,9,0,0,0,0,9,NONE,SECONDARY
32,SINK_ONLY_Q800,9,9,0,0,0,0,9,NONE,SECONDARY
32,SOURCE_ONLY_Q800,9,9,0,0,0,0,9,NONE,SECONDARY
