block,burst_A_over_T,burst_BOUNDARY_256_SURVIVAL,burst_COAST_LOSS,burst_CORE_256_SURVIVAL,burst_FRESH_TERMINAL_RETENTION,burst_FRESH_WASHOUT_FRACTION,burst_F_over_T,burst_INCUMBENT_REMOVED_BY_SINK,burst_I_over_I0,burst_T_over_M256,delta_uniform_minus_burst_A_over_T,delta_uniform_minus_burst_BOUNDARY_256_SURVIVAL,delta_uniform_minus_burst_COAST_LOSS,delta_uniform_minus_burst_CORE_256_SURVIVAL,delta_uniform_minus_burst_FRESH_TERMINAL_RETENTION,delta_uniform_minus_burst_FRESH_WASHOUT_FRACTION,delta_uniform_minus_burst_F_over_T,delta_uniform_minus_burst_INCUMBENT_REMOVED_BY_SINK,delta_uniform_minus_burst_I_over_I0,delta_uniform_minus_burst_T_over_M256,size,uniform_A_over_T,uniform_BOUNDARY_256_SURVIVAL,uniform_COAST_LOSS,uniform_CORE_256_SURVIVAL,uniform_FRESH_TERMINAL_RETENTION,uniform_FRESH_WASHOUT_FRACTION,uniform_F_over_T,uniform_INCUMBENT_REMOVED_BY_SINK,uniform_I_over_I0,uniform_T_over_M256
L24_S990000,0.1945853163864578,0.06121896575153283,0.04489836272064984,0.3089513205643117,0.7799444345340749,0.035968169453356555,0.34190416224905124,0.38267117088772246,0.4588633951225568,0.9899740652526006,-0.002321379353118075,-0.0017693838502615342,0.00030887405702040294,-0.05154408969125779,-0.12893153366723276,0.11411889227398973,0.051119255828049326,0.07709906438478653,-0.05311799620945029,-0.011596858979667557,24,0.19226393703333972,0.059449581901271295,0.045207236777670246,0.2574072308730539,0.6510129008668422,0.1500870617273463,0.39302341807710056,0.459770235272509,0.4057453989131065,0.978377206272933
L24_S990001,0.20007133910134106,0.05977520771297824,0.045994786486772576,0.2917995940434037,0.7485155740759595,0.055184751202235996,0.35389406645914256,0.40233127341552466,0.4366697998859896,0.9790043313449825,-0.006798084691058193,-0.0012904911132126662,0.0016575073365403536,-0.038319541523183065,-0.13642916565428898,0.13432172365485762,0.04412903180107075,0.0691969399674317,-0.038379826079254775,-0.0044840978966466105,24,0.19327325441028287,0.05848471659976558,0.04765229382331293,0.25348005252022066,0.6120864084216705,0.1895064748570936,0.3980230982602133,0.47152821338295636,0.3982899738067348,0.9745202334483359
L24_S990002,0.20781651545150137,0.06006749396606334,0.04119706549903368,0.2868029927349403,0.7325726109012185,0.07854745201784341,0.36264832891747706,0.4190921626558877,0.43144364136673224,1.0044431421053444,-0.0045420289210438836,-0.0005233745118476338,-0.00716994458237763,-0.016816983843185973,-0.10941217591323171,0.12023031890536953,0.027938009866116276,0.04993218340574762,-0.014553835427698059,0.022027171331908457,24,0.2032744865304575,0.059544119454215706,0.03402712091665605,0.26998600889175434,0.6231604349879868,0.19877777092321294,0.39058633878359333,0.46902434606163534,0.4168898059390342,1.0264703134372528
L24_S990003,0.1996161905061666,0.06047045263572414,0.04414483603085084,0.2916302368428939,0.7205685761773897,0.08486932562743675,0.35901607767384547,0.41453933245667884,0.43985654555447357,0.9965761288001648,-0.0015409993515697329,0.0008912767252834894,-0.022265893521698943,-0.015850969993016994,-0.09668040273974798,0.1085681270858324,0.021162985524961153,0.041794062375719365,-0.010775460256935987,0.020816671783262186,24,0.19807519115459687,0.06136172936100763,0.0218789425091519,0.2757792668498769,0.6238881734376417,0.19343745271326915,0.3801790631988066,0.4563333948323982,0.4290810852975376,1.017392800583427
L24_S990004,0.18965228247737076,0.06458544830516466,0.0389373939096076,0.28246346461654837,0.6940720183265779,0.1112544865447877,0.370412105434301,0.42781718783662803,0.4343689665019527,0.9873466811201067,0.004697539513600996,0.002168508723019727,-0.02245526237524298,-0.005383214431142147,-0.05357032487161961,0.05329093834566384,-0.002142609851603694,0.014838538827845749,0.0035882899384814815,0.013971561859682624,24,0.19434982199097176,0.06675395702818439,0.01648213153436462,0.2770802501854062,0.6405016934549583,0.16454542489045154,0.3682694955826973,0.4426557266644738,0.4379572564404342,1.0013182429797893
L24_S990005,0.1941350480362691,0.0603909228430767,0.04623396277923697,0.28512770998593095,0.734917661920383,0.06523428911173597,0.3652810897714638,0.41323293158529173,0.4277197283578452,0.9708020766570702,-0.003087991834413717,0.000354628669135465,-0.025889398815252984,-0.027531385286538645,-0.1199355375394432,0.12784322915602575,0.03394794243597704,0.05840302908855438,-0.02448334649347189,0.013364017771874126,24,0.1910470562018554,0.06074555151221216,0.020344563963983986,0.2575963246993923,0.6149821243809398,0.1930775182677617,0.3992290322074408,0.4716359606738461,0.4032363818643733,0.9841660944289443
L24_S990006,0.20977957967313332,0.06717732747704075,0.03576526652034562,0.27855855556256914,0.7035789010410862,0.11074026345882558,0.3668350616944029,0.4397752069226707,0.4342859130687326,1.0257461771268535,0.00039364861290977493,0.0007991507635724121,-0.018806577353835396,-0.0031918458825443974,-0.05325092350560401,0.03517849968950566,-0.006550037689365296,0.006196736674105807,2.4696648025457346e-05,-0.014643968707589883,24,0.2101732282860431,0.06797647824061316,0.01695868916651022,0.27536670968002475,0.6503279775354822,0.14591876314833124,0.3602850240050376,0.4459719435967765,0.43431060971675806,1.0111022084192636
L24_S990007,0.19862122866404971,0.061771623535657565,0.04700166012271245,0.2814932891564773,0.6836793812494197,0.11726279825795427,0.37256194543393534,0.4327172832607462,0.42426633618469034,0.9893882668718682,0.0016027299258561112,0.0017454442462853728,-0.0305313340000265,-0.008744836717063886,-0.07559008330827688,0.08620678002158966,0.010210244363492937,0.02831178863188466,-0.0023125961071471246,0.02248185961673521,24,0.20022395858990583,0.06351706778194294,0.016470326122685952,0.2727484524394134,0.6080892979411429,0.20346957827954393,0.3827721897974283,0.46102907189263087,0.4219537400775432,1.0118701264886034
L24_S990008,0.20282422328887717,0.06290664059908074,0.03129551177872958,0.2893703900003794,0.6911834305160429,0.12122591262086319,0.36466823560910955,0.43051902084657107,0.44048209278221034,1.01843794829537,0.00025836802874623643,-1.9032156473586248e-05,-0.013931530603658704,-0.006724335077981924,-0.06494624133655325,0.05753762388891215,-0.000935121908150538,0.013485929823810361,-0.000866529321616516,-0.003591453273080525,24,0.2030825913176234,0.06288760844260716,0.017363981175070875,0.28264605492239747,0.6262371891794897,0.17876353650977533,0.363733113700959,0.4440049506703814,0.43961556346059383,1.0148464950222895
L32_S990100,0.16717847270031996,0.05222243693727841,0.03383601637899858,0.40453907354797014,0.8477029172343353,0.011784403275298897,0.29815373563480313,0.3282495861393001,0.5334319504937022,0.9976885812266221,-0.0036039742635829153,-0.0018899593338609771,0.010918092318158545,-0.03915309028323499,-0.052898374704248186,0.03446920887628131,0.03926115661895102,0.04929723488332727,-0.0408850852222315,-0.010641700694326017,32,0.16357449843673705,0.050332477603417435,0.044754108697157124,0.36538598326473515,0.7948045425300871,0.046253612151580206,0.33741489225375415,0.3775468210226274,0.4925468652714707,0.9870468805322961
L32_S990101,0.16219794763641326,0.051610123336618546,0.034449860231708374,0.39592897804685556,0.8311356407739594,0.021630184686312122,0.31055673716235127,0.3438245821532912,0.524918154946555,0.995586190739708,-0.0027273506540257952,-0.0008408441334712621,0.011621605304843685,-0.042264794465520894,-0.09651998256853633,0.07502294524962022,0.03900312838871006,0.05591115382787326,-0.04115977969195184,-0.01027378673427326,32,0.15947059698238747,0.050769279203147284,0.04607146553655206,0.35366418358133467,0.7346156582054231,0.09665312993593234,0.34955986555106133,0.39973573598116446,0.4837583752546032,0.9853124040054347
L32_S990102,0.1748275948150777,0.05617864250727219,0.03364806425756661,0.4103926293334665,0.8646731753696578,0.005632462239160282,0.2832814640310394,0.3096569782297641,0.5453109744960247,1.0063112945473112,-0.0008099964864663467,-0.0009062213584842271,0.011691459168055696,-0.04247733110090457,-0.02484728549978865,0.011104146525544305,0.03808126345825924,0.04553272947402981,-0.042299894059081966,-0.009499029444397955,32,0.17401759832861136,0.05527242114878796,0.04533952342562231,0.3679152982325619,0.8398258898698692,0.016736608764704588,0.3213627274892986,0.35518970770379393,0.5030110804369428,0.9968122651029132
L32_S990103,0.1644106432496285,0.052619835350250034,0.033779525986452175,0.4089742778123455,0.8512636342103542,0.009079393707293817,0.29588357834784373,0.3228357941205292,0.5358983691521763,0.9929453983953624,0.002325390877268796,-0.00030307165274311154,0.006754525410777257,-0.046009376679713276,-0.03135233761736744,0.019795784418658355,0.04035635760287731,0.04943987280835538,-0.045096033096127364,-0.005463291880924648,32,0.1667360341268973,0.05231676369750692,0.04053405139722943,0.36296490113263224,0.8199112965929868,0.02887517812595217,0.33623993595072105,0.3722756669288846,0.4908023360560489,0.9874821065144378
L32_S990104,0.16573606752033845,0.04938006513326931,0.03792136187034545,0.4006372887508034,0.8355527512072376,0.017604035474153897,0.30799731959635224,0.34017420309214425,0.521127988269988,0.9902357009023118,-0.003895347348128242,-0.0007296280816142878,0.004240971267981952,-0.03733197871652871,-0.06838486746796535,0.05048061046117157,0.039541919556161376,0.05212041187497923,-0.0378458579861044,-0.0051921025635492946,32,0.1618407201722102,0.048650437051655025,0.0421623331383274,0.3633053100342747,0.7671678837392722,0.06808464593532547,0.3475392391525136,0.3922946149671235,0.48328213028388356,0.9850435983387625
L32_S990105,0.17134113698687048,0.052765892945048944,0.032197978563566765,0.4043245303949646,0.8563855036880224,0.010891023688322793,0.298890582377697,0.32940038135914085,0.5355241481314447,1.0108648775444014,-0.004545062679711914,-0.0016165974435951719,0.014723598301052743,-0.040301916337671606,-0.04181181456365879,0.023584851779445665,0.039196926873560856,0.047662170593724795,-0.04133818419954843,-0.012744137610901318,32,0.16679607430715856,0.05114929550145377,0.04692157686461951,0.36402261405729297,0.8145736891243636,0.03447587546776846,0.33808750925125786,0.37706255195286564,0.49418596393189623,0.9981207399335
L32_S990106,0.17073471377479613,0.05276002437770309,0.03466949673928421,0.4182317568796351,0.8631176331754505,0.005553931493295215,0.2821475584295085,0.3074371107373618,0.5475792578068203,1.0008435661790476,-0.0013880899095906896,-0.0014007317830880203,0.009214063281465457,-0.04573407810881419,-0.02958497298710805,0.01217406510926947,0.03865378623387028,0.046784450976679826,-0.0455300349274268,-0.01614763110452011,32,0.16934662386520544,0.051359292594615066,0.04388356002074967,0.3724976787708209,0.8335326601883425,0.017727996602564685,0.3208013446633788,0.3542215617140416,0.5020492228793935,0.9846959350745275
L32_S990107,0.17319626477789227,0.054839776147536975,0.03248792219064067,0.4146989617031619,0.8634558033311568,0.006086637654713373,0.28330495884522455,0.3102128438698787,0.5466165900615377,1.0057365606330129,-0.0006099771670333987,-0.00046483451273302,0.011920919961981524,-0.04313651794928375,-0.026325342639480387,0.011700446231847315,0.03784614625740462,0.046067287578792526,-0.04241223250650006,-0.00980213786871853,32,0.17258628761085887,0.054374941634803955,0.0444088421526222,0.37156244375387815,0.8371304606916764,0.017787083886560688,0.3211511051026292,0.3562801314486712,0.5042043575550377,0.9959344227642943
L32_S990108,0.16082162147974,0.05155536290277906,0.031743853625887275,0.4009364951785632,0.8476443908662449,0.01061589781689534,0.30509805134635637,0.3332595881952872,0.527105925653924,0.9869412873586184,-0.005345136581487109,-0.0016992645105774612,0.015364386110223727,-0.03957222588273018,-0.049536722068193595,0.03030671538335563,0.04052228901169169,0.04978836729889441,-0.04128010717771108,-0.01315350032800866,32,0.1554764848982529,0.0498560983922016,0.047108239736111,0.36136426929583304,0.7981076687980513,0.04092261320025097,0.34562034035804806,0.38304795549418164,0.4858258184762129,0.9737877870306098
