L,attempted,axis,balance_error,coast_survival,deficit,first_failure_time,first_failure_type,fresh_frac_1536,fresh_frac_2048,initial_microstate_sha256,intervention,joint_exchange_persistence_1536,joint_exchange_persistence_2048,law,mass_1536,mass_2048,realized,residual_1536,residual_2048,seed,survival_1536,survival_2048,survival_256,t256_area,t256_checkpoint_sha256,t256_mass,t256_residual,t256_status,unique_egress_cells,unique_ingress_cells
24,404,+x,0.0,False,404,1984,TRACK_LOST_OR_DISSOLVED,0.0,nan,938f4a4ff60d911921228fcd3ab1c5d3564c40a4a42f41b91469f08f1c49e04c,SHAM,False,False,BASELINE_SWEEP00,51.331149938359914,0.0,0,0.762785572201043,nan,940000,True,False,True,205,4e7730d496a6b8ae9d24e36c405b73bfa9eb61df198ee30c04209bfdb79c0742,124.72174601447104,0.9149288052250281,T256_VALID_TRACK,0,0.0
24,404,+x,0.0,False,349,400,TRACK_LOST_OR_DISSOLVED,0.11256308599618846,nan,938f4a4ff60d911921228fcd3ab1c5d3564c40a4a42f41b91469f08f1c49e04c,FLOW_2N,False,False,BASELINE_SWEEP00,6.759879616089853,0.0,55,0.6026578405251594,nan,940000,False,False,True,205,4e7730d496a6b8ae9d24e36c405b73bfa9eb61df198ee30c04209bfdb79c0742,124.72174601447104,0.9149288052250281,T256_VALID_TRACK,55,19.811939925518306
24,808,+x,0.0,False,748,336,TRACK_LOST_OR_DISSOLVED,0.11317902322742406,nan,938f4a4ff60d911921228fcd3ab1c5d3564c40a4a42f41b91469f08f1c49e04c,FLOW_4N,False,False,BASELINE_SWEEP00,10.362415887983902,0.0,60,0.6153062509279228,nan,940000,False,False,True,205,4e7730d496a6b8ae9d24e36c405b73bfa9eb61df198ee30c04209bfdb79c0742,124.72174601447104,0.9149288052250281,T256_VALID_TRACK,60,19.4388339702528
24,404,+x,0.0,True,404,,NONE,0.0,0.0,938f4a4ff60d911921228fcd3ab1c5d3564c40a4a42f41b91469f08f1c49e04c,SHAM,False,False,LAW_16,164.77298654165682,164.13037162794555,0,0.8894196748106592,0.8729862945738435,940000,True,True,True,216,a58cd393197ae9a460e1db99cb73cbcc9cda01b749211f4a92d68f8ebc888a3b,167.50307041239867,0.9527418710442147,T256_VALID_TRACK,0,0.0
24,404,+x,0.0,False,344,464,TRACK_LOST_OR_DISSOLVED,nan,nan,938f4a4ff60d911921228fcd3ab1c5d3564c40a4a42f41b91469f08f1c49e04c,FLOW_2N,False,False,LAW_16,0.0,0.0,60,nan,nan,940000,False,False,True,216,a58cd393197ae9a460e1db99cb73cbcc9cda01b749211f4a92d68f8ebc888a3b,167.50307041239867,0.9527418710442147,T256_VALID_TRACK,60,0.0037724380055398857
24,808,+x,0.0,False,748,368,TRACK_LOST_OR_DISSOLVED,nan,nan,938f4a4ff60d911921228fcd3ab1c5d3564c40a4a42f41b91469f08f1c49e04c,FLOW_4N,False,False,LAW_16,0.0,0.0,60,nan,nan,940000,False,False,True,216,a58cd393197ae9a460e1db99cb73cbcc9cda01b749211f4a92d68f8ebc888a3b,167.50307041239867,0.9527418710442147,T256_VALID_TRACK,60,0.00024056053429776582
24,404,-x,0.0,False,404,1952,TRACK_LOST_OR_DISSOLVED,0.0,nan,b9bf4790ebc5806e397137eb199926f91a35f2307c09d6576fbdb192da978287,SHAM,False,False,BASELINE_SWEEP00,49.487366625148994,0.0,0,0.7711104139515781,nan,940001,True,False,True,208,80656d44b35604ae19dc47af202b8abfdc39645b6f057928f1017c6082286254,126.61367685505374,0.9160973059632411,T256_VALID_TRACK,0,0.0
24,404,-x,0.0,False,362,352,TRACK_LOST_OR_DISSOLVED,nan,nan,b9bf4790ebc5806e397137eb199926f91a35f2307c09d6576fbdb192da978287,FLOW_2N,False,False,BASELINE_SWEEP00,0.0,0.0,42,nan,nan,940001,False,False,True,208,80656d44b35604ae19dc47af202b8abfdc39645b6f057928f1017c6082286254,126.61367685505374,0.9160973059632411,T256_VALID_TRACK,42,15.958320111597976
24,808,-x,0.0,False,759,320,TRACK_LOST_OR_DISSOLVED,0.1546802840181059,nan,b9bf4790ebc5806e397137eb199926f91a35f2307c09d6576fbdb192da978287,FLOW_4N,False,False,BASELINE_SWEEP00,66.27881027422312,0.0,49,0.5413774073573207,nan,940001,False,False,True,208,80656d44b35604ae19dc47af202b8abfdc39645b6f057928f1017c6082286254,126.61367685505374,0.9160973059632411,T256_VALID_TRACK,49,18.453122945243802
24,404,-x,0.0,True,404,,NONE,0.0,0.0,b9bf4790ebc5806e397137eb199926f91a35f2307c09d6576fbdb192da978287,SHAM,False,False,LAW_16,161.88335724754404,161.64543208014487,0,0.9031432114519077,0.885666711290107,940001,True,True,True,209,ee1f75ccef155915c1980c2367b6a1985ffead433bdae51975e6ac7dddd491a3,165.63716520107536,0.966097529834943,T256_VALID_TRACK,0,0.0
